UniProt,rank_comet,rank_swiss,rank_pharm,n_lists,rrf,score,final_rank
P04035,8,1,1,3,0.047492767598842814,0.5474927675988428,1
O43924,1,6,NA,2,0.031544957774465976,0.281544957774466,2
P45452,7,7,NA,2,0.029850746268656716,0.2798507462686567,3
P19793,10,7,NA,2,0.029211087420042643,0.27921108742004264,4
P14780,14,7,NA,2,0.028438886647841874,0.2784388866478419,5
P08253,18,7,NA,2,0.027745885954841176,0.2777458859548412,6
P03956,33,7,NA,2,0.025678061306371368,0.27567806130637135,7
P08684,50,1,NA,2,0.02548435171385991,0.27548435171385993,8
P28845,NA,7,55,2,0.0236210253082414,0.2736210253082414,9
P14555,NA,7,56,2,0.02354606278950077,0.2735460627895008,10
Q13547,76,3,NA,2,0.023225957049486462,0.2732259570494865,11
Q92769,76,3,NA,2,0.023225957049486462,0.2732259570494865,11
P35222,61,7,NA,2,0.023189835944245715,0.27318983594424573,13
Q9UBN7,81,3,NA,2,0.022965214454576156,0.27296521445457617,14
P10828,NA,7,115,2,0.020639658848614073,0.2706396588486141,15
P10827,NA,7,255,2,0.018099976308931533,0.2680999763089315,16
P31153,2,NA,NA,1,0.016129032258064516,0.016129032258064516,17
P98170,NA,NA,2,1,0.016129032258064516,0.016129032258064516,17
P55058,3,NA,NA,1,0.015873015873015872,0.015873015873015872,19
Q6SLM2,NA,NA,3,1,0.015873015873015872,0.015873015873015872,19
P07148,4,NA,NA,1,0.015625,0.015625,21
Q9X112,NA,NA,4,1,0.015625,0.015625,21
NONE,NA,NA,5,1,0.015384615384615385,0.015384615384615385,23
Q6P179,5,NA,NA,1,0.015384615384615385,0.015384615384615385,23
POL_HV1B1,NA,NA,6,1,0.015151515151515152,0.015151515151515152,25
Q16850,6,NA,NA,1,0.015151515151515152,0.015151515151515152,25
O76074,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P00746,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P01275,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P01375,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P04150,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P05121,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P06737,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P06756 P05106,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P08235,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P08246,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P08514 P05106,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P09960,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P0C869,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P10276,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P10826,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P11150,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P11473,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P11802,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P12268,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
P13612,NA,7,NA,1,0.014925373134328358,0.014925373134328358,27
