"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Phosphodiesterase 6D","PDE6D","O43924","CHEMBL3860","Phosphodiesterase","0.998137004957","1 /  1     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.998137004957","464 /  84     "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.150917041681","16 /  1     "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.150917041681","11 /  1     "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.150917041681","30 /  1     "
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.100634432184","260 /  0     "
"Caspase-7","CASP7","P55210","CHEMBL3468","Protease","0.100634432184","81 /  0     "
"Caspase-1","CASP1","P29466","CHEMBL4801","Protease","0.100634432184","295 /  0     "
"Thromboxane-A synthase","TBXAS1","P24557","CHEMBL1835","Cytochrome P450","0.100634432184","240 /  0     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.100634432184","93 /  0     "
"Glycogen synthase kinase-3 alpha","GSK3A","P49840","CHEMBL2850","Kinase","0.100634432184","20 /  0     "
"Caspase-8","CASP8","Q14790","CHEMBL3776","Protease","0.100634432184","80 /  0     "
"Lysosomal protective protein","CTSA","P10619","CHEMBL6115","Protease","0.100634432184","338 /  0     "
"Prostanoid EP1 receptor   (by homology)","PTGER1","P34995","CHEMBL1811","Family A G protein-coupled receptor","0.100634432184","94 /  0     "
"Prostanoid EP4 receptor   (by homology)","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.100634432184","285 /  0     "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.100634432184","14 /  0     "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.100634432184","180 /  0     "
"Prostanoid EP2 receptor   (by homology)","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.100634432184","235 /  0     "
"Purinergic receptor P2Y12","P2RY12","Q9H244","CHEMBL2001","Family A G protein-coupled receptor","0.100634432184","50 /  0     "
"Phosphodiesterase 5A","PDE5A","O76074","CHEMBL1827","Phosphodiesterase","0.100634432184","48 /  0     "
"Neprilysin","MME","P08473","CHEMBL1944","Protease","0.100634432184","298 /  0     "
"Endothelin-converting enzyme 1","ECE1","P42892","CHEMBL4791","Protease","0.100634432184","53 /  0     "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.100634432184","450 /  0     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.100634432184","29 /  0     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.100634432184","75 /  0     "
"c-Jun N-terminal kinase 3","MAPK10","P53779","CHEMBL2637","Kinase","0.100634432184","27 /  0     "
"Egl nine homolog 1","EGLN1","Q9GZT9","CHEMBL5697","Oxidoreductase","0.100634432184","47 /  0     "
"Inosine-5'-monophosphate dehydrogenase 1","IMPDH1","P20839","CHEMBL1822","Oxidoreductase","0.100634432184","24 /  0     "
"Inosine-5'-monophosphate dehydrogenase 2","IMPDH2","P12268","CHEMBL2002","Oxidoreductase","0.100634432184","52 /  0     "
"Leukotriene B4 receptor 1","LTB4R","Q15722","CHEMBL3911","Family A G protein-coupled receptor","0.100634432184","93 /  0     "
"Integrin alpha-4/beta-7","ITGB7 ITGA4","P26010 P13612","CHEMBL2095184","Membrane receptor","0.100634432184","155 /  0     "
"Prostanoid IP receptor","PTGIR","P43119","CHEMBL1995","Family A G protein-coupled receptor","0.100634432184","83 /  0     "
"Cytochrome P450 2C9","CYP2C9","P11712","CHEMBL3397","Cytochrome P450","0.100634432184","4 /  0     "
"Prostanoid DP receptor","PTGDR","Q13258","CHEMBL4427","Family A G protein-coupled receptor","0.100634432184","148 /  0     "
"Serine/threonine-protein kinase Aurora-A","AURKA","O14965","CHEMBL4722","Kinase","0.100634432184","75 /  0     "
"Prostaglandin I2 synthase","PTGIS","Q16647","CHEMBL4428","Cytochrome P450","0.100634432184","14 /  0     "
"Galactokinase","GALK1","P51570","CHEMBL1293257","Enzyme","0.100634432184","3 /  0     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.100634432184","16 /  0     "
"Integrin alpha-4/beta-1","ITGB1 ITGA4","P05556 P13612","CHEMBL1907599","Membrane receptor","0.100634432184","560 /  0     "
"Prostanoid EP3 receptor","PTGER3","P43115","CHEMBL3710","Family A G protein-coupled receptor","0.100634432184","49 /  0     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.100634432184","173 /  0     "
"Thyroid hormone receptor alpha","THRA","P10827","CHEMBL1860","Nuclear receptor","0.100634432184","136 /  0     "
"Thyroid hormone receptor beta-1","THRB","P10828","CHEMBL1947","Nuclear receptor","0.100634432184","151 /  0     "
"Cholecystokinin B receptor   (by homology)","CCKBR","P32239","CHEMBL298","Family A G protein-coupled receptor","0.100634432184","197 /  0     "
"Endothelin receptor ET-B","EDNRB","P24530","CHEMBL1785","Family A G protein-coupled receptor","0.100634432184","144 /  0     "
"Angiotensin-converting enzyme   (by homology)","ACE","P12821","CHEMBL1808","Protease","0.100634432184","275 /  0     "
"Endothelin receptor ET-A","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.100634432184","375 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.100634432184","35 /  0     "
"Estradiol 17-beta-dehydrogenase 2","HSD17B2","P37059","CHEMBL2789","Enzyme","0.100634432184","3 /  0     "
