"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","1.0","230 /  102     "
"Norepinephrine transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","1.0","134 /  1     "
"Neurokinin 2 receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","1.0","98 /  1     "
"Dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","1.0","148 /  2     "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.106165761464","59 /  2     "
"Cytochrome P450 17A1","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.106165761464","50 /  11     "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.106165761464","58 /  2     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.106165761464","290 /  0     "
"Bile acid receptor FXR","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.106165761464","21 /  0     "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.106165761464","16 /  2     "
"p53-binding protein Mdm-2","MDM2","Q00987","CHEMBL5023","Other nuclear protein","0.106165761464","306 /  0     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.106165761464","40 /  0     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.106165761464","59 /  14     "
"Potassium channel subfamily K member 3","KCNK3","O14649","CHEMBL2321613","Voltage-gated ion channel","0.106165761464","26 /  0     "
"Corticotropin releasing factor receptor 1   (by homology)","CRHR1","P34998","CHEMBL1800","Family B G protein-coupled receptor","0.106165761464","102 /  0     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.106165761464","327 /  21     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.106165761464","37 /  50     "
"Phosphodiesterase 2A","PDE2A","O00408","CHEMBL2652","Phosphodiesterase","0.106165761464","109 /  0     "
"Phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.106165761464","412 /  0     "
"Vasopressin V1a receptor","AVPR1A","P37288","CHEMBL1889","Family A G protein-coupled receptor","0.106165761464","32 /  0     "
"Cytochrome P450 24A1","CYP24A1","Q07973","CHEMBL4521","Enzyme","0.106165761464","4 /  0     "
"Tyrosine-protein kinase receptor TYRO3","TYRO3","Q06418","CHEMBL5314","Kinase","0.106165761464","35 /  0     "
"Proto-oncogene tyrosine-protein kinase MER","MERTK","Q12866","CHEMBL5331","Kinase","0.106165761464","48 /  0     "
"C5a anaphylatoxin chemotactic receptor","C5AR1","P21730","CHEMBL2373","Family A G protein-coupled receptor","0.106165761464","33 /  0     "
"Orexin receptor 2","HCRTR2","O43614","CHEMBL4792","Family A G protein-coupled receptor","0.106165761464","31 /  0     "
"Orexin receptor 1","HCRTR1","O43613","CHEMBL5113","Family A G protein-coupled receptor","0.106165761464","28 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.106165761464","39 /  7     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.106165761464","64 /  9     "
"Lysosomal Pro-X carboxypeptidase","PRCP","P42785","CHEMBL2335","Protease","0.106165761464","41 /  0     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.106165761464","46 /  5     "
"Geranylgeranyl transferase type I","PGGT1B FNTA","P53609 P49354","CHEMBL2095164","Enzyme","0.106165761464","13 /  1     "
"Metabotropic glutamate receptor 2","GRM2","Q14416","CHEMBL5137","Family C G protein-coupled receptor","0.106165761464","9 /  0     "
"Mixed lineage kinase 7","MAP3K20","Q9NYL2","CHEMBL3886","Kinase","0.106165761464","7 /  0     "
"Sphingosine 1-phosphate receptor Edg-3","S1PR3","Q99500","CHEMBL3892","Family A G protein-coupled receptor","0.106165761464","21 /  0     "
"TGF-beta receptor type II","TGFBR2","P37173","CHEMBL4267","Kinase","0.106165761464","5 /  0     "
"TGF-beta receptor type I","TGFBR1","P36897","CHEMBL4439","Kinase","0.106165761464","20 /  0     "
"Acyl-CoA desaturase","SCD","O00767","CHEMBL5555","Enzyme","0.106165761464","22 /  0     "
"Squalene synthetase","FDFT1","P37268","CHEMBL3338","Enzyme","0.106165761464","26 /  0     "
"Cytochrome P450 51","CYP51A1","Q16850","CHEMBL3849","Cytochrome P450","0.106165761464","14 /  0     "
"N-lysine methyltransferase SMYD2","SMYD2","Q9NRG4","CHEMBL2169716","Writer","0.106165761464","4 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.106165761464","199 /  0     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.106165761464","124 /  60     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.106165761464","152 /  0     "
"Monocarboxylate transporter 1","SLC16A1","P53985","CHEMBL4360","Electrochemical transporter","0.106165761464","24 /  0     "
"Tyrosine-protein kinase receptor UFO","AXL","P30530","CHEMBL4895","Kinase","0.106165761464","32 /  0     "
