"","User-added Compound","LINCS Analog","LINCS Analog Name","Similarity"
"1",60823,"LSM-5771","Atorvastatin",1
"2",60823,"LSM-1023","Imatinib",0.734
"3",60823,"LSM-1051","Lapatinib",0.729
"4",60823,"LSM-3657","Telmisartan",0.726
"5",60823,"LSM-1099","Nilotinib",0.724
"6",60823,"LSM-5669","Clofazimine",0.718
"7",60823,"LSM-5903","Candesartan",0.683
"8",60823,"LSM-45402","ABT-333",0.683
"9",60823,"LSM-6344","Osimertinib",0.679
"10",60823,"LSM-1195","Cabozantinib",0.679
"11",60823,"LSM-45297","Deferasirox",0.67
"12",60823,"LSM-43191","Axitinib",0.67
"13",60823,"LSM-43228","Montelukast",0.664
"14",60823,"LSM-5536","Ezetimibe",0.653
"15",60823,"LSM-4938","Erismodegib",0.65
"16",60823,"LSM-1205","Idelalisib",0.65
"17",60823,"LSM-3425","Raloxifene",0.646
"18",60823,"LSM-5792","Zafirlukast",0.634
"19",60823,"LSM-45837","Tolvaptan",0.631
"20",60823,"LSM-45792","Perampanel",0.63
"21",60823,"LSM-45459","Netupitant",0.625
"22",60823,"LSM-45571","VX-809 (Lumacaftor)",0.625
"23",60823,"LSM-45691","Vismodegib (GDC-0449)",0.624
"24",60823,"LSM-45830","Ibrutinib (PCI-32765)",0.623
"25",60823,"LSM-45777","Rilpivirine",0.616
"26",60823,"LSM-1068","Vemurafenib",0.61
"27",60823,"LSM-45972","AMSACRINE",0.606
"28",60823,"LSM-1151","Ponatinib",0.606
"29",60823,"LSM-6346","Paclitaxel",0.593
"30",60823,"LSM-45806","Pitavastatin Calcium",0.592
"31",60823,"LSM-6303","Dabrafenib",0.588
"32",60823,"LSM-5411","Chlorotrianisene",0.58
"33",60823,"LSM-36374","Ceritinib",0.574
"34",60823,"LSM-5825","Bosentan",0.574
"35",60823,"LSM-46132","Afatinib",0.571
"36",60823,"LSM-43065","Sulindac",0.571
"37",60823,"LSM-43226","Afatinib",0.571
"38",60823,"LSM-45508","Bazedoxifene HCl",0.57
"39",60823,"LSM-6302","Vinorelbine base",0.566
"40",60823,"LSM-5316","Parecoxib",0.562
"41",60823,"LSM-1938","Sertaconazole",0.561
"42",60823,"LSM-1491","Sulfinpyrazone",0.561
"43",60823,"LSM-5753","Acemetacin",0.56
"44",60823,"LSM-43101","Eprosartan",0.558
"45",60823,"LSM-45660","APIXABAN",0.555
"46",60823,"LSM-2072","Clomifene",0.554
"47",60823,"LSM-42850","Enclomiphene",0.554
"48",60823,"LSM-3767","Olmesartan Medoxomil",0.554
"49",60823,"LSM-2553","Oxaprozin",0.553
"50",60823,"LSM-1405","Warfarin",0.547
"51",60823,"LSM-5554","Tolnaftate",0.545
"52",60823,"LSM-45761","DICUMAROL",0.545
"53",60823,"LSM-45431","Fenticonazole Nitrate",0.545
"54",60823,"LSM-45789","Ambrisentan",0.545
"55",60823,"LSM-1143","Trametinib",0.544
"56",60823,"LSM-5278","Sulfasalazine",0.541
"57",60823,"LSM-5377","Mizolastine",0.54
"58",60823,"LSM-3275","Indomethacin",0.536
"59",60823,"LSM-42959","Tamoxifen",0.535
"60",60823,"LSM-1226","Regorafenib",0.529
"61",60823,"LSM-3497","Picotamide",0.525
"62",60823,"LSM-45758","Riociguat",0.525
"63",60823,"LSM-5693","Vindesine",0.525
"64",60823,"LSM-36994","Rimonabant",0.524
"65",60823,"LSM-1114","Pazopanib",0.524
"66",60823,"LSM-6068","Vinblastine",0.524
"67",60823,"LSM-1647","Vinblastine",0.524
"68",60823,"LSM-1008","Sorafenib",0.524
"69",60823,"LSM-42973","Toremifene",0.519
"70",60823,"LSM-37048","Adapalene",0.519
"71",60823,"LSM-5951","Rifaximin",0.517
"72",60823,"LSM-46032","Rifaximin",0.517
"73",60823,"LSM-43244","Rifaximin",0.517
"74",60823,"LSM-45975","Ivacaftor (VX-770)",0.515
"75",60823,"LSM-45965","CANAGLIFLOZIN",0.514
"76",60823,"LSM-3050","Flavoxate",0.514
"77",60823,"LSM-45773","ITRACONAZOLE HYDROCHLORIDE",0.513
"78",60823,"LSM-5200","Midazolam",0.51
"79",60823,"LSM-4419","Glafenine",0.51
"80",60823,"LSM-2432","Phenolphthalein",0.51
"81",60823,"LSM-5879","Lofepramine",0.509
"82",60823,"LSM-5305","Valdecoxib",0.505
"83",60823,"LSM-2482","Rofecoxib",0.5
"84",60823,"LSM-5995","Darifenacin",0.5
"85",60823,"LSM-45581","Lenvatinib (E7080)",0.5
"86",60823,"LSM-43018","Naftifine",0.495
"87",60823,"LSM-43059","Panobinostat",0.495
"88",60823,"LSM-5184","Bifonazole",0.49
"89",60823,"LSM-5956","Butenafine",0.49
"90",60823,"LSM-43262","Mebhydrolin",0.49
"91",60823,"LSM-5991","Ataluren",0.49
"92",60823,"LSM-43162","Rifampicin",0.487
"93",60823,"LSM-5419","Cyproheptadine",0.485
"94",60823,"LSM-5460","Alprazolam",0.485
"95",60823,"LSM-2338","Papaverine",0.485
"96",60823,"LSM-1145","Olaparib",0.482
"97",60823,"LSM-46025","Triptorelin",0.481
"98",60823,"LSM-42878","Flunarizine",0.481
"99",60823,"LSM-42858","Cinnarizine",0.481
"100",60823,"LSM-5370","Cromolyn",0.481
"101",60823,"LSM-4109","Tadalafil",0.48
"102",60823,"LSM-43237","Cerivastatin",0.48
"103",60823,"LSM-5730","Phthalylsulfathiazole",0.48
"104",60823,"LSM-6515","Isoconazole",0.479
"105",60823,"LSM-5910","Novobiocin",0.477
"106",60823,"LSM-1607","Meclizine",0.477
"107",60823,"LSM-43181","Belinostat",0.475
"108",60823,"LSM-45824","Etravirine (TMC125)",0.475
"109",60823,"LSM-4947","Rucaparib",0.474
"110",60823,"LSM-5532","(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid",0.474
"111",60823,"LSM-2239","Benzbromarone",0.474
"112",60823,"LSM-5279","Sulfaphenazole",0.47
"113",60823,"LSM-6254","Enzalutamide",0.47
"114",60823,"LSM-5029","Oxyphenbutazone",0.469
"115",60823,"LSM-2379","Amiodarone",0.467
"116",60823,"LSM-5502","Astemizole",0.464
"117",60823,"LSM-45461","ACRIVASTINE",0.462
"118",60823,"LSM-2219","Phenylbutazone",0.458
"119",60823,"LSM-5560","Zolpidem",0.457
"120",60823,"LSM-5165","Miconazole",0.453
"121",60823,"LSM-5762","Aceclofenac",0.453
"122",60823,"LSM-45894","Apremilast (CC-10004)",0.452
"123",60823,"LSM-5127","Azelastine",0.452
"124",60823,"LSM-5647","Elvitegravir",0.452
"125",60823,"LSM-4963","Prenylamine",0.451
