Symbol,log2FoldChange,pvalue
SMCR8,0.31198031,2.93377286153894e-09
PHF1,0.456708702,3.08016470486185e-09
CERS5,0.50181081,1.31380871497077e-08
INO80D,0.285259964,3.66664254317556e-08
TMEM199,0.31926069,5.78920131711233e-08
PRR3,0.3051895,7.30408225856543e-08
NFE2L1,0.41021419,8.32421762240863e-08
CYTH2,0.389953155,9.7057392563192e-08
RGP1,0.27048325,1.0785264439221e-07
METTL25B,0.261930488,1.13901467735596e-07
LMAN2,0.366842262,1.26078370176538e-07
ZDHHC5,0.292877643,1.2918816423157e-07
GGA1,0.253103476,1.51806057262776e-07
FBXL12,0.344614226,1.70167253521405e-07
PHKG2,0.304213202,2.12375662456378e-07
FBXO42,0.35873931,2.63107532122534e-07
COPS7A,0.356068524,2.86633296513125e-07
PHF19,0.376005393,3.87630027032814e-07
ADRM1,0.30283719,4.01637408561019e-07
SAP30BP,0.278817726,4.02775279947752e-07
TNXB,0.289626238,4.10510774285545e-07
MALAT1,-0.567130321,4.917796657314e-07
RSKR,0.314045762,5.71337489195347e-07
SZT2,0.30443906,5.74314090653522e-07
PRKCSH,0.35244,5.88329408699406e-07
DHRS1,0.45001169,6.06936028305313e-07
LMAN2L,0.397022583,6.47763843071278e-07
ATXN7L1,0.545405202,7.22664191582355e-07
XRCC1,0.293271071,7.22792978995734e-07
CSNK1G2,0.28480881,7.40355093897846e-07
F8A3,0.253450119,9.05785826271697e-07
USP30,0.34621669,9.45022919974496e-07
MED8,0.308096857,1.00649255453924e-06
WDR73,0.255066012,1.03470600847096e-06
DHX16,0.265246869,1.1518913458229e-06
GMEB1,0.360348512,1.3198046408687e-06
PGAP2,0.312278524,1.36932799980566e-06
MTFR1L,0.394622976,1.443405524405e-06
NPFF,0.360243262,1.49058051780497e-06
PARP6,0.39131756,1.50813182821897e-06
GLB1,0.402335536,1.51563121191447e-06
RIPK3,0.338117369,1.54376353913188e-06
SLC39A7,0.302816381,1.59337809855825e-06
NAT9,0.248640833,1.65961889886216e-06
HMGCL,0.290515262,1.74651654813579e-06
CNPY3,0.267756786,1.76414686453474e-06
PIGS,0.337761167,1.79747674109073e-06
VPS26C,0.330868929,1.82223644906144e-06
PGAM4,0.391316429,1.87211246153128e-06
CCNT1,0.245851226,1.89199574890023e-06
SPRYD3,0.414561917,1.91432464953579e-06
KCTD13,0.209128857,1.95971276087637e-06
ALG12,0.25118075,2.00071455725563e-06
GLE1,0.252453655,2.08029728960401e-06
UBAP2L,0.311919774,2.18459609489253e-06
PIM2,0.451656333,2.2416054992572e-06
BSDC1,0.293364774,2.31199806596029e-06
TAPBPL,0.458122393,2.449831017578e-06
TOX2,-0.307812607,2.69354126258484e-06
NSMCE1,0.61575219,2.97073368580166e-06
SUFU,0.221644464,3.02310117460742e-06
ALDOC,0.398060083,3.11474905283813e-06
GLYR1,0.344312512,3.19566447362959e-06
MRPL49,0.586656429,3.32937446948214e-06
GOLGA2P9,-0.510677369,3.38380865568105e-06
SERINC5,0.536774417,3.44544794142338e-06
RAB4B-EGLN2,0.302989071,3.46749278989631e-06
GANAB,0.464062333,3.71536404977388e-06
KBTBD4,0.254822714,3.88414926868013e-06
UBE2E4P,-0.357920012,3.89722130929211e-06
LOC100132147,-0.430727405,3.91990918977492e-06
TMEM115,0.315679917,3.94884867340523e-06
CEP68,0.419672607,4.3424115804907e-06
CENPF,-0.317659405,4.70687378341719e-06
VPS4A,0.314979036,4.88711621459074e-06
FOXJ3,0.259325357,5.21669896413507e-06
GPR108,0.363448012,5.3077626807798e-06
NCSTN,0.419416321,5.34121528484666e-06
TPD52L3,-0.221781643,5.55200141122225e-06
RNF185,0.546777845,5.57074929780509e-06
FOXP1,0.238368333,5.58181716706301e-06
PEF1,0.33092631,5.6211020791819e-06
EOLA2,0.357341393,5.63966467044745e-06
BCL9,0.436696476,5.65384207106305e-06
NUDCD3,0.305119274,5.6724564173795e-06
ELOVL1,0.259019524,5.71299459697939e-06
CERKL,-0.196042512,5.76702344834799e-06
MIR221,-0.291551381,5.85644719050256e-06
ACD,0.267071679,5.99249868047474e-06
NECAP1,0.25959281,6.06846859872319e-06
CASP2,0.282521583,6.0966759772812e-06
ARMCX6,0.617907167,6.17644690859248e-06
H3C2,-0.789496202,6.25633700371413e-06
ZNF445,0.262090881,6.94218218729717e-06
SARS1,0.407197262,7.12794582348063e-06
PDPK1,0.379394048,7.17089878952402e-06
ACSS2,0.401302905,7.25527700095005e-06
ISCU,-0.439961786,7.64438366898523e-06
ZBTB3,0.306559274,7.66840313119243e-06
SYCP3,-0.347440774,8.06934757931461e-06
DNAJA2,-0.44841206,8.41233902238772e-06
SRRM1,0.314289845,8.83218118753957e-06
ZNF574,0.274534036,9.43025912132601e-06
H3C7,-0.52439281,9.78952027989575e-06
YKT6,0.243294952,9.79764877448307e-06
UBE4A,0.247014405,1.04264446490341e-05
USF1,0.303466167,1.06614751333604e-05
VPS72,0.328547155,1.08004479870061e-05
PEX12,0.288095286,1.10875418556313e-05
INTS3,0.327731631,1.11530849907304e-05
TRAPPC2L,0.25744375,1.2122651512953e-05
GGA3,0.239914429,1.2139035256951e-05
PMCHL2,-0.206888726,1.21736204867871e-05
C14orf93,0.322749238,1.22176593975875e-05
STX5,0.247638405,1.30902341436543e-05
TSPAN18,0.436899298,1.37301296325564e-05
MOGS,0.377982667,1.39889690961782e-05
FDPSP2,0.208736143,1.413045302237e-05
ZSWIM1,0.375462988,1.42806757228868e-05
ASCL1,-0.274692929,1.42813595351119e-05
RPRD1B,0.189687607,1.43787977362094e-05
ACACB,0.261965512,1.44749120653031e-05
PHF23,0.242666071,1.46886373366517e-05
LSM14A,-0.236532929,1.47427477889411e-05
LOC731157,0.35767319,1.53373095857324e-05
MAP3K14,0.242643452,1.55023688038062e-05
UNK,0.340989595,1.57280547232546e-05
PPP2R1A,0.302773286,1.58244924038835e-05
MIR494,-0.259870143,1.62550918198262e-05
LFNG,0.379420036,1.65409899282862e-05
CRELD1,0.234242524,1.66198162134073e-05
PEX10,0.240882,1.67513868381026e-05
ARF6,0.336802298,1.70345613701261e-05
ATL3,0.408736083,1.70698601425804e-05
UBE2Z,0.412077798,1.7496254364481e-05
DENND4B,0.270490536,1.75342424337946e-05
PEX19,0.276649619,1.76548815568433e-05
UCK1,0.256891571,1.78956911567744e-05
MTG2,0.306409,1.81109026303008e-05
B3GAT2,-0.239038738,1.81193593679684e-05
MBD1,0.19424719,1.82330856992239e-05
APBB3,0.363480345,1.82733505946638e-05
MFAP3,0.398637167,1.88641613826213e-05
ENTPD4,0.257301917,1.89667182287555e-05
PIAS3,0.320212762,1.93955475296515e-05
USP21,0.26504875,2.04570323375485e-05
TRABD,0.20107231,2.04752204392654e-05
ISG20L2,0.210625857,2.07951354943682e-05
ZNF672,0.199998298,2.10853354953284e-05
ABHD16A,0.305732869,2.14977553080591e-05
GADD45GIP1,-0.242503464,2.16447255963383e-05
PTCRA,0.259672488,2.17827370602446e-05
H3C13,-0.406396107,2.18861041995583e-05
MYO15B,0.457029893,2.21325809566985e-05
SNX12,0.214397274,2.21476200777064e-05
ZNF609,0.350698155,2.25415096314312e-05
SAE1,0.292084702,2.27025636822437e-05
CLN8,0.322682583,2.27115412191512e-05
TRADD,0.255460845,2.27204368196447e-05
GLA,0.362228952,2.29383095526403e-05
CHMP6,0.257236619,2.29718725923487e-05
H2AX,-0.207865964,2.31075899738793e-05
ASXL2,0.276747726,2.32072185942415e-05
SHCBP1,-0.270827321,2.38367498617922e-05
TMED9,0.314107369,2.47989294537179e-05
NOL4L,0.237921583,2.51094147033428e-05
CBX7,0.344852333,2.52500856540846e-05
RNF41,0.214811417,2.54588313689578e-05
SLC25A11,0.265869631,2.57255034724098e-05
HEMK1,0.359311214,2.58702550482725e-05
PPM1A,-0.44225094,2.59152600424272e-05
SLITRK3,-0.255506214,2.59610094901071e-05
TMCO6,0.268275036,2.61052863303048e-05
SHPK,0.295947345,2.68127290422136e-05
DHDDS,0.351888155,2.7146156180061e-05
TM9SF1,0.248633679,2.7392909500874e-05
RPRD2,0.32492656,2.74498954497549e-05
BCL2L2-PABPN1,0.204654381,2.74639690092012e-05
LTBP3,0.27527381,2.75828323176768e-05
POU2F1,0.290312,2.76110395665797e-05
TBRG4,0.368651381,2.79842902658882e-05
LIX1L,0.266910179,2.88331990103564e-05
SYS1-DBNDD2,0.229515536,2.93060008236202e-05
EIF3F,0.536211738,2.94119772727084e-05
PTPN18,0.32772019,2.98648294148019e-05
TNFAIP1,0.218175274,3.00117359725359e-05
COPS6,0.420143298,3.0022483073912e-05
GUSBP11,0.320857083,3.00945762708676e-05
FICD,0.274611452,3.05340738683428e-05
DBP,0.234686238,3.07459930329124e-05
PCDHA4,-0.322838702,3.09581411640854e-05
C11orf68,0.251057298,3.11820353725734e-05
PLA2G4B,0.337105333,3.17547017295218e-05
NDUFV1,0.344175667,3.18227902823479e-05
LRRC59,0.342978714,3.19372420472474e-05
NFKB2,0.363989607,3.20274720025517e-05
HBQ1,-0.404796464,3.21901725165797e-05
H3C8,-0.401422476,3.24072894714653e-05
FAF2,0.262105869,3.29984761206457e-05
KCNK12,-0.345527179,3.43555279979024e-05
CA5BP1,0.46453819,3.45617942827519e-05
NKX6-2,-0.32943275,3.46776824196191e-05
DCAF12L1,-0.31257475,3.50795166696409e-05
LOC652276,-0.317630024,3.51857200973717e-05
CNOT4,0.244718643,3.54143108012015e-05
PMF1-BGLAP,0.243262726,3.54385154516836e-05
PRCP,0.350590952,3.55625686423769e-05
DNAJB1,0.351504524,3.56564978390393e-05
SNX17,0.40048925,3.66622678445093e-05
MIR320A,-0.252305,3.69037085499159e-05
