"","Target","Similarity.x","Similarity.y","Similarity"
"1","423735-93-7",-0.39510255,NA,-0.339385
"2","Phorbol Myristate Acetate",-0.33372552,NA,NA
"3","Berberine",-0.32754672,NA,-0.33328947
"4","Vitinoin",-0.32030376,-0.27749616,NA
"5","CHEMBL1222381",-0.3161144,-0.3760561,NA
"6","Alitretinoin",-0.31370502,-0.31194351,NA
"7","EXALAMIDE",-0.31241395,NA,-0.33888426
"8","CX-5461",-0.31179687,NA,-0.2392457
"9","NU1025",-0.31022516,NA,-0.3615115
"10","Aliskiren",-0.30885761,NA,-0.28685365
"11","BML 210",-0.30571464,-0.32013251,NA
"12","Irinotecan",-0.30429158,NA,-0.26288509
"13","Ammonium Glycyrrhizinate",-0.30127553,NA,-0.25287127
"14","Tretinoin",-0.29968805,-0.32396238,-0.26716785
"15","Bemegride",-0.29704876,NA,-0.30099736
"16","Pifithrin MU",-0.2955547,NA,NA
"17","CHEMBL259628",-0.29499692,NA,-0.20532529
"18","DMP-543",-0.29073458,NA,-0.24162113
"19","MLS001214919",-0.28317881,NA,-0.2795667
"20","BG-1009",-0.28261081,NA,NA
"21","Pramipexole",-0.28242205,NA,-0.26956524
"22","Cnqx",-0.28193479,NA,-0.27452265
"23","Tacedinaline",-0.27872112,-0.30809551,-0.25315148
"24","SKF83959",-0.27645954,NA,NA
"25","BG45",-0.27516016,NA,NA
"26","Labetalol",-0.27361178,NA,-0.27107222
"27","Cladribine",-0.27071176,NA,-0.26706317
"28","Tozasertib",-0.27047862,NA,-0.25479559
"29","Losmapimod",-0.27018492,NA,-0.27763141
"30","Broad-Sai-424",-0.26722601,-0.20629851,-0.25721354
"31","Quizartinib",-0.26564753,NA,-0.2438975
"32","Clioquinol",-0.26540983,NA,-0.22035993
"33","Cholic acid",-0.26331982,NA,-0.30944152
"34","Chaetocin",-0.26303371,NA,NA
"35","Phorbol 12-myristate-13-acetate",-0.26265724,NA,NA
"36","GSK429286A",-0.26238964,NA,NA
"37","FK 866",-0.26112118,NA,-0.2154774
"38","BRD-K19275171",-0.26106093,NA,NA
"39","(R,S)-Indatraline",-0.26063015,NA,NA
"40","Deoxycholic acid",-0.26039253,NA,-0.20828688
"41","AS-605240",-0.25996019,NA,-0.25317766
"42","BRD-K35002913",-0.25993793,NA,-0.4185599
"43","AG-205/37268006",-0.25992921,NA,-0.2138194
"44","SN-38",-0.25992453,NA,-0.25455931
"45","CHEMBL3187550",-0.25804905,NA,-0.27753948
"46","Lapatinib",-0.25669767,NA,-0.26551819
"47","Tipifarnib",-0.25621602,NA,-0.2040908
"48","BRD-A36275421",-0.25506712,NA,-0.26964891
"49","Broad-Sai-686",-0.2548285,-0.25007351,NA
"50","NO-ASA",-0.25454269,NA,NA
"51","9-Cis acitretin",-0.25356061,-0.21931774,NA
"52","BRD-K03354784",-0.25336452,NA,NA
"53","TAK-715",-0.25310078,-0.26223448,-0.28106431
"54","CAY10603",-0.25205629,NA,-0.25880114
"55","SCHEMBL2231351",-0.25174782,NA,NA
"56","LY-294002",-0.25090696,-0.22904707,NA
"57","STK369842",-0.25049669,-0.23616105,NA
"58","4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",-0.25005716,-0.20190547,-0.27542892
"59","(+)-Camptothecin",-0.2488381,NA,-0.24607011
"60","4-Hydroxy-retinoic acid",-0.24869262,-0.29191494,NA
"61","AZ20",-0.24859327,NA,NA
"62","Ampalex",-0.24802505,NA,NA
"63","BRD-K63513868",-0.24690114,NA,NA
"64","Y-39983",-0.24631382,NA,-0.21311811
"65","PJ34",-0.24623782,NA,-0.26414969
"66","Voriconazole",-0.24605446,NA,-0.2078462
"67","MW-STK33-100",-0.24550012,NA,-0.27181637
"68","TG 100801",-0.24501918,NA,-0.27493548
"69","Oleoylethanolamide",-0.24485068,NA,NA
"70","Ursolic acid",-0.24479837,-0.23460012,-0.23049689
"71","Phenoxazine",-0.24413515,NA,-0.21935583
"72","Cadmium Dichloride",-0.24372191,-0.26594487,NA
"73","Alvocidib",-0.24329079,NA,-0.21302144
"74","Tyrphostin AG-1478",-0.2427435,NA,NA
"75","Chelidonine",-0.24258128,NA,NA
"76","Pomalidomide",-0.24250019,NA,-0.24259668
"77","chlormadinone-acetate",-0.24241866,NA,-0.2723052
"78","Loxoprofen",-0.2423803,NA,-0.22940748
"79","Cycloheximide",-0.242114,-0.23922432,NA
"80","N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",-0.2419118,NA,-0.27509998
"81","Abexinostat",-0.24108642,-0.2071323,-0.22385973
"82","Gallocatechin Gallate",-0.24100986,-0.23423639,NA
"83","Propentofylline",-0.24096412,NA,-0.22697241
"84","CHEMBL2133868",-0.24089085,-0.2393603,NA
"85","Ingenol 3,20-dibenzoate",-0.24048909,-0.27036539,NA
"86","C24H25CLFN5O3",-0.24015642,NA,-0.26202869
"87","SCHEMBL16892136",-0.23963233,-0.24422227,-0.22462399
"88","MLS003337122",-0.23954642,NA,NA
"89","PD-407824",-0.23921203,NA,NA
"90","MLS000703473",-0.23873641,NA,NA
"91","Arachidonyl Trifluoromethylketone",-0.2383845,NA,NA
"92","SCHEMBL1564574",-0.2383196,NA,-0.25433254
"93","Imatinib",-0.23798576,NA,-0.24616087
"94","Captopril",-0.23746183,NA,-0.2922472
"95","BSPBIO_001592",-0.23711605,NA,NA
"96","SA-427636",-0.2364336,NA,-0.31589093
"97","NSC95397",-0.23574141,-0.22738059,NA
