Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9380315917375458,0.919267373879107,0.9525472691457304,0.961117861482382,0.945462542168581,0.9723448955118513
1,0.9295261239368166,0.9097956531578838,0.9450715056345527,0.9513973268529767,0.9343297670490289,0.9641142530394698
2,0.9185905224787367,0.897720901677146,0.93535563880323,0.9477521263669504,0.9301970243351511,0.9609848338261789
3,0.9088699878493322,0.8870698885897713,0.9266366035876117,0.9404617253948969,0.9219884469712519,0.9546681597395609
4,0.8979343863912512,0.8751659944752873,0.9167487524358483,0.9356014580801941,0.916553189430399,0.9504194044450744
5,0.8894289185905222,0.8659577161590026,0.9090076787100146,0.9307411907654919,0.9111441231223162,0.94614415432716
6,0.8809234507897934,0.856788682747256,0.9012272313894599,0.8955042527339002,0.8725308187893343,0.9145412720824354
7,0.8760564703986901,0.8515574365798152,0.896759406509744,0.8882039463257431,0.8646335740294381,0.9078903488593737
8,0.857754455000389,0.8319754460766368,0.879867078357304,0.8808936257798522,0.8567529087817632,0.9012024932518977
9,0.8516537832009551,0.8254789276871578,0.8742056147590862,0.8711465317186641,0.8462862914638866,0.892244469259922
10,0.8418927083218608,0.8151135067067928,0.865118383440605,0.8662661589919494,0.8410611480115446,0.887743495076646
11,0.8394524396020875,0.8125274629455197,0.8628412862115986,0.8577255067201977,0.8319415284163048,0.8798424975581806
12,0.8284552460701825,0.800896554380161,0.8525559261386401,0.8528381818955812,0.8267353262308299,0.8753086257742306
13,0.823567604500447,0.7957398151459633,0.8479721768117467,0.8467290258648107,0.8202404063941349,0.8696285245307654
14,0.8162361421458434,0.7880184438831593,0.8410828975502447,0.843063532246348,0.8163500295119943,0.8662139250685158
15,0.8125704109685421,0.7841637312988091,0.8376323207519148,0.8393980386278858,0.8124644122192508,0.8627945921835831
16,0.8040170382215047,0.7751842747550649,0.8295661919388265,0.8332799771218516,0.8059882584643641,0.8570779140696484
17,0.8015732174366366,0.7726224304124283,0.8272578916225459,0.8320563648206447,0.8046945303902032,0.8559330866138526
18,0.7966855758669015,0.7675035458836476,0.8226365162863989,0.8271619156158179,0.7995244825755335,0.851348947081182
19,0.7905760239047321,0.7611137280700068,0.8168510635918536,0.8222674664109904,0.794362022732715,0.8467572734445105
20,0.7893541135122979,0.7598369107567174,0.8156928339480531,0.8149148512120843,0.7866194316506444,0.8398467127230573
21,,,,0.8124639794791155,0.7840421300656335,0.8375396611641095
22,0.788132203119864,0.758560469827821,0.8145342302805187,0.8038859284137249,0.7750350774339245,0.8294515928903771
23,0.7844607798134047,0.7547269137005121,0.8110512176359489,0.8002096208142722,0.77118115701188,0.8259790856817751
24,0.7795578999395711,0.7496119948891262,0.8063953713660251,0.7989841849477879,0.7698973280837539,0.8248207788724142
25,0.7734293000972784,0.7432265069285633,0.8005674801916094,0.7977587490813032,0.7686139001141196,0.8236620744600334
26,0.7709778601603622,0.7406747961959541,0.7982338626833404,0.7928494644715721,0.7634755436148852,0.8190167588309462
27,0.7685264202234452,0.738124480875221,0.7958988628807194,0.7879401798618411,0.7583434349948325,0.8143652571346486
28,0.7648492603180698,0.7343015903538025,0.7923938049606236,0.781803574099677,0.7519368425569953,0.8085424203551161
29,0.7623978203811527,0.7317546963829064,0.7900554159119447,,,
30,0.7599463804442361,0.7292091451711565,0.7877156966908716,0.7781216106423786,0.7480973309717887,0.8050443176024085
31,0.7562632800543606,0.7253866201121699,0.7841984062923162,0.7768942894899458,0.7468182210105223,0.8038775631518995
32,0.7550335836640284,0.724110859471308,0.7830235589328731,0.7707576837277821,0.7404280298290352,0.7980384839059584
33,0.752574190883364,0.7215603268376102,0.7806728877786425,0.7695303625753496,0.7391510489633897,0.7968696208485859
34,0.7501107729099322,0.719006577895296,0.7783173648953517,0.7670717991166427,0.7365936986273824,0.7945274126138514
35,0.7464156459497845,0.715178394538688,0.7747816740095422,0.7646092893281463,0.7340332783016674,0.7921803591481528
36,,,,0.7596842697511537,0.7289165642492141,0.7874821774434745
37,0.7439522279763532,0.7126278803398801,0.7724229606530307,0.7559845086971712,0.7250758303359104,0.7839497378954478
38,,,,0.7535139710870499,0.7225124828942207,0.7815895639376472
39,0.7402571010162056,0.7088044901405022,0.7688825417957283,0.7510434334769284,0.7199504709474512,0.7792280748367357
40,0.7402571010162056,0.7088044901405022,0.7688825417957283,0.7498040878771319,0.718665376853554,0.778043237619613
41,0.7377854579410265,0.7062479226378234,0.7665134127953138,0.7485647422773348,0.7173806164548077,0.7768580727242781
42,,,,0.7473253966775381,0.7160961880606199,0.7756725817847889
43,0.7365496364034368,0.7049701124730303,0.76532838244161,0.7460860510777407,0.7148120900030115,0.774486766413805
44,,,,0.7436073598781471,0.7122448783364385,0.7721141687231002
45,,,,0.7411245306298062,0.7096743268198447,0.7697366252801229
46,0.7340738393062824,0.7024107837611915,0.7629537071920721,,,
47,0.7328359407577049,0.7011315899686936,0.7617659072879857,0.7411245306298062,0.7096743268198447,0.7697366252801229
48,,,,0.7398810330951925,0.7083872025137699,0.7685455292445766
49,,,,0.7373898511655788,0.7058092357238146,0.7661586693688931
50,0.7315980422091279,0.6998527079756519,0.7605778010471146,0.7361442602007724,0.7045207404669424,0.7649647618298839
51,0.7303601436605502,0.6985741363729618,0.7593893898346868,,,
52,0.7291222451119732,0.6972958737695917,0.7582006749987802,0.7348986692359651,0.7032325685697769,0.7637705378667049
53,0.7291222451119732,0.6972958737695917,0.7582006749987802,,,
54,0.7278822412937559,0.6960155665142729,0.7570097851543902,0.7348986692359651,0.7032325685697769,0.7637705378667049
55,0.7266422374755377,0.6947355678549756,0.7558185924868513,0.731142798694725,0.6993486026881561,0.7601690235342895
56,0.7254022336573206,0.6934558764335529,0.7546270983075628,0.7298865395904379,0.6980497807761508,0.7589640658719542
57,,,,0.7298865395904379,0.6980497807761508,0.7589640658719542
58,0.7241622298391028,0.6921764909091651,0.7534353039115654,0.7286259410764647,0.6967464267527675,0.7577549388997427
59,0.7229200990846623,0.6908950363097496,0.7522413164134695,0.7273631578163668,0.6954409573225256,0.7565435520130802
60,0.7216779683302207,0.6896138872948318,0.7510470293968283,,,
61,0.7204358375757799,0.6883330425547605,0.7498524441220045,0.7248375912961712,0.6928310144815573,0.7541198136813603
62,0.7179515760668981,0.6857722607433104,0.7474623837614075,0.7223076171555214,0.6902174596834646,0.7516908827371851
63,0.7167094453124571,0.6844923211346533,0.746266911119191,0.7223076171555214,0.6902174596834646,0.7516908827371851
64,0.7154673145580162,0.6832126807258049,0.7450711451063439,,,
65,0.7142251838035751,0.6819333382876966,0.7438750869073819,,,
66,,,,0.7197687503113893,0.6875952781669719,0.7492527749685651
70,0.7117409222946932,0.679375542484271,0.7414820986167632,,,
71,0.7104987915402519,0.6780970867369914,0.7402851708223336,0.7197687503113893,0.6875952781669719,0.7492527749685651
