Name_GeneSymbol,Value_LogDiffExp,Significane_pvalue
SNORD116-21,0.95065356,0.003223506
CCR7,0.870239988,0.000735525
VSIG1,0.8119695,0.000831428
LEF1,0.803263357,0.002392293
CD151,0.77669831,8.07304838831477e-05
SNORD116-1,0.776155048,0.029412889
MIR24-2,0.776117512,0.000978319
NELL2,0.756131179,0.013797445
SNORD116-24,0.73192294,0.024451405
MIR29A,0.67756631,0.034724827
MIR27A,0.677263893,0.00184095
PRKCA,0.664281786,8.99409923365251e-05
TREML4,0.66182156,0.034644428
SNORD36B,0.654811179,0.000317112
LOC100131131,0.654027976,0.0108401
IL7R,0.646372488,0.003018358
CD40LG,0.646270952,0.00382423
CD4,0.63221581,6.58776046776921e-05
RCAN3,0.625423976,0.000853524
ARMCX6,0.617907167,6.17644690859248e-06
NSMCE1,0.61575219,2.97073368580166e-06
HLA-DQB1,0.606367988,0.145053822
GCNT4,0.60270756,0.013128703
CCR4,0.596916071,0.00229842
SNORD116-9,0.587477548,0.05592167
MRPL49,0.586656429,3.32937446948214e-06
LRRN3,0.580855107,0.035208325
HEBP1,0.577628381,0.014554191
GPR15,0.577334333,0.047880076
TESPA1,0.575567631,0.002909567
ALYREF,0.569261798,0.000218826
PEPD,0.566242155,9.65288653052957e-05
ICOS,0.564420583,0.009061574
AK5,0.552898607,0.017278437
LINC00189,0.548368512,0.093638702
RNF185,0.546777845,5.57074929780509e-06
SNORA20,0.546621012,0.037938031
SIGLEC14,0.545880417,0.07352197
ATXN7L1,0.545405202,7.22664191582355e-07
RASGRF2,0.543956214,0.000629556
CD28,0.542777798,0.012677601
LDLRAP1,0.542046333,0.000156325
SNORD42B,0.540031405,0.010178356
SNORD116-20,0.539118345,0.05145143
SERINC5,0.536774417,3.44544794142338e-06
EIF3F,0.536211738,2.94119772727084e-05
SH2D1B,0.535543655,0.038357915
SIRPG,0.53284181,0.000408082
PSMB6,0.532522071,0.000469787
IFI35,0.531429405,0.024631891
DNAJC8,0.531235726,0.00033661
TSHZ2,0.528503024,0.002177494
TMEM176A,0.527430774,0.238676017
PDPR,0.52737625,0.000560904
HSH2D,0.52129144,0.000106667
RNVU1-3,0.515898571,0.001029411
CAMK4,0.512111262,0.019687652
DENND11,0.512022095,0.002622906
LOC100505530,0.51027075,0.070651514
SNORD116-14,0.506749345,0.07511006
CD3E,0.50354981,0.017030206
FFAR2,0.5027805,0.001027604
SNORD64,0.502127798,0.039426086
NOD2,0.501901976,0.008496202
PFKFB3,0.501834226,0.001437781
CERS5,0.50181081,1.31380871497077e-08
PDCD1LG2,0.499187155,0.010308411
TMEM258,0.498838417,7.45050001773068e-05
OR2L8,0.497278619,0.01136273
CLEC12B,0.496067155,0.116998825
SIDT2,0.492690286,0.000461659
TMEM109,0.483170202,0.001688513
ISY1-RAB43,0.482165845,0.000238567
DGKA,0.479464321,0.000141457
FHIT,0.477575976,0.001136912
LDHB,0.477313143,0.040846945
RPS13,0.476412857,0.000503852
RNU4-2,0.474863821,0.072251001
AKT3,0.471881095,0.010144386
ITK,0.471558917,0.030342865
CD274,0.471322881,0.098661328
TCF7,0.467082262,0.016838748
P2RX5-TAX1BP3,0.466764274,0.000393701
SPOCK2,0.464655357,0.000594445
CA5BP1,0.46453819,3.45617942827519e-05
GANAB,0.464062333,3.71536404977388e-06
RFX5,0.461597952,0.002520549
SNORD42A,0.461028631,0.014726553
LRP1,0.459555119,0.004452687
TAPBPL,0.458122393,2.449831017578e-06
MYO15B,0.457029893,2.21325809566985e-05
PHF1,0.456708702,3.08016470486185e-09
SNORD38B,0.456630881,0.009359317
SNORD41,0.455373881,0.028598854
RNU4-1,0.454965631,0.047940789
HAX1,0.452649262,0.000260429
PIM2,0.451656333,2.2416054992572e-06
DHRS1,0.45001169,6.06936028305313e-07
TREML3P,0.449956655,0.045331603
FHL1,0.448319036,0.018491606
ABLIM1,0.44828781,0.003668769
SNORD36A,0.448204917,0.002651804
TREML1,0.447695619,0.079500453
TOMM22,0.44766475,0.004658791
CSF1R,0.447627,0.000348402
SNORA5A,0.446566845,0.000833067
ANK3,0.446501262,0.010659786
SNORD56B,0.445466714,0.034808367
PLCG1,0.443014464,0.003470842
ADGRE1,0.44214956,0.029827978
ARHGAP31,0.440951964,0.004142003
TP53,0.440439536,0.000907379
STAT2,0.439312298,0.026301549
EEIG1,0.438297226,0.011419746
TSPAN18,0.436899298,1.37301296325564e-05
NOL9,0.436836298,0.001175786
BCL9,0.436696476,5.65384207106305e-06
FARS2,0.436481893,0.003986964
APOOL,0.436341452,0.009014093
HINT2,0.434315976,0.005110265
PPT1,0.43334381,0.007977884
OGFOD1,0.431126452,0.000467117
FLVCR2,0.430799774,0.001129961
SERPINB8,0.429463262,0.002059907
UQCC2,0.428284952,0.003386169
TRIM21,0.428065738,0.002063042
CD27,0.42787181,0.025071631
MID2,0.425820274,0.004617709
KCNMB1,0.424268357,0.000131502
ITGB3,0.423997381,0.16614385
IL1B,0.423990083,0.005867468
SNORA3A,0.42346306,0.04596133
ZNF667-AS1,0.42224019,0.000497928
SIGLEC9,0.421259393,0.004216019
TMEM116,0.421120262,0.012443875
PLXDC1,0.420331726,0.001392514
COPS6,0.420143298,3.0022483073912e-05
CEP68,0.419672607,4.3424115804907e-06
NCSTN,0.419416321,5.34121528484666e-06
CSRP1,0.419241476,0.00054552
DAB2,0.41789156,0.014879096
IL2RA,0.417251143,0.001250163
P2RX7,0.415069988,0.007836294
CD101,0.41484475,0.010519099
SPRYD3,0.414561917,1.91432464953579e-06
RASGRP1,0.414290405,0.032546733
DPH6,0.413475893,0.018797927
UBE2Z,0.412077798,1.7496254364481e-05
ZNF512,0.411188583,0.000599914
MX1,0.4110545,0.241707589
NFE2L1,0.41021419,8.32421762240863e-08
TNFAIP3,0.409648369,0.006642213
MYOF,0.409255345,0.039273565
FAM86HP,0.409251821,0.00047917
ATL3,0.408736083,1.70698601425804e-05
FAM3B,0.408461298,0.052677212
MPI,0.408269917,0.001079711
CD5,0.408193702,0.040930968
MGC40069,0.407891357,0.017728227
SARS1,0.407197262,7.12794582348063e-06
MORC2,0.407044464,0.000274435
SNORD116-23,0.406755893,0.063819906
TMED8,0.406419643,0.006673047
DNHD1,0.406325595,0.001217867
C3,0.406216202,0.00046785
CD3G,0.405945583,0.083981783
LOC100134868,0.40560894,0.002712144
SIRPB2,0.405436452,0.001875156
MS4A4A,0.404625417,0.04617455
RPS8,0.404377524,0.028829516
NIPAL3,0.403583976,0.003241725
PTGS1,0.402567417,0.017331382
GLB1,0.402335536,1.51563121191447e-06
SNORD14C,0.401872036,0.017346247
CHMP7,0.401475583,0.0031803
APEX1,0.401367524,0.003540334
ACSS2,0.401302905,7.25527700095005e-06
ACAD9,0.400634488,0.000278077
CRACR2A,0.400631143,0.000960383
SNORD116-22,0.400509524,0.021577445
SNX17,0.40048925,3.66622678445093e-05
SNORD49A,0.40035431,0.004092834
KIAA1328,0.399570381,0.028250666
SIGLEC16,0.399455512,0.019109188
