Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
440 patients in Cohort 1 and 459 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9505709902846439,0.9447107467795779,0.9558246941275551,0.9369354013976487,0.9304102774537013,0.942867618380366
1,0.9432418612578835,0.9370122287362189,0.9488722882825132,0.92551559570479,0.9184988370151518,0.9319508379577782
2,0.9403442986193971,0.9339765427634116,0.9461157439627557,0.9219349347781501,0.9147739175541729,0.9285179945288917
3,0.9362536219532979,0.9296976550538281,0.9422173623536154,0.9151108419966683,0.9076862265499488,0.9219642570869085
4,0.9330145799254187,0.926314770835484,0.9391253888380036,0.9106735272089187,0.9030849028151677,0.9176953378622283
5,0.9279003030392945,0.9209819790073522,0.9342347198438403,0.9046990991953643,0.8968981108069515,0.911939179881854
6,0.9227832057798858,0.9156557509000512,0.9293318257018619,0.8915528771462902,0.8833152906964985,0.8992425672021607
7,0.9185189580637121,0.9112239786345985,0.9252393319329089,0.8850601578416615,0.8766207097314243,0.8929581242480733
8,0.9149369899821272,0.9075056895707423,0.9217972392959255,0.879248638844633,0.8706355017772484,0.8873260351734691
9,0.9084492860038992,0.9007802567484171,0.9155536653445346,0.874287897497066,0.865531313541323,0.8825136309868954
10,0.9031536997184305,0.8952988660922002,0.9104490980530524,0.8689850360565623,0.8600799083006566,0.8773645507282639
11,0.9000788431655778,0.8921193444996447,0.9074819387748224,0.8640223408920001,0.8549823880361216,0.8725415820420755
12,0.8968313122084669,0.8887636244125576,0.9043457916831003,0.8597407633851024,0.8505875253280974,0.8683775108103163
13,0.8927268210770791,0.8845257184505856,0.900378745373534,0.8537393819095385,0.844431804175211,0.8625363682694105
14,0.8898178013419233,0.8815242911690324,0.8975649844125483,0.849622495197498,0.8402120445557907,0.8585264040652991
15,0.8867329168226329,0.8783431429222278,0.8945793658265071,0.8444753476094689,0.8349396055599424,0.853509617561618
