Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9655889145496541,0.9597172600738311,0.9706178502189791,0.9510392609699775,0.9441840823863868,0.9570717363358274
1,0.9593533487297927,0.9530357791164819,0.9648368232841361,0.9360277136258665,0.9283243794945532,0.9429287605669865
2,0.952193995381064,0.945410141165805,0.9581535692287643,0.9316397228637427,0.9237119121857845,0.9387711949243933
3,0.9461879197187857,0.9390433176445744,0.9525164085044018,0.9247095984685261,0.9164449360290928,0.932187288634151
4,0.94387732650824,0.9366002944196434,0.9503413728589364,0.9187034906593368,0.9101626742517364,0.9264654495646105
5,0.9387927767572166,0.9312353976738862,0.9455440294136979,0.9131593911431634,0.9043753334521467,0.9211720813063399
6,0.93116595213068,0.9232136868204358,0.9383223757921876,0.908077299920004,0.8990792652512382,0.9163108333283917
7,0.9265401898250121,0.9183614385309071,0.9339292967406887,0.9020696638391078,0.8928288064420826,0.9105541251903737
8,0.921913272522515,0.9135168678482091,0.9295262247773372,0.8967511295483365,0.8873036343574663,0.90544937475663
9,0.9168185495897103,0.9081916944771969,0.9246687263497007,0.8930484152069755,0.8834613529654191,0.9018911845946379
10,0.913113296547671,0.9043246562671827,0.921130194344419,0.8867968447608799,0.8769817536517306,0.8958760006539038
11,0.9100989560562743,0.901181870349992,0.9182482841238703,0.8826291311301507,0.8726671570312158,0.8918607511869558
12,0.9066199845117157,0.8975582042459457,0.9149186069814349,0.8782264129648909,0.8681133226511726,0.8876150293126391
13,0.9031392320756585,0.8939362628182254,0.9115836396102258,0.8733551095649271,0.8630793928436852,0.8829128358488809
14,0.8994254752745249,0.8900756759252846,0.9080216195184235,0.869641667695929,0.8592451449761185,0.8793251393634184
15,0.8966401576736747,0.8871827376838026,0.9053476097515623,0.8656950824447734,0.8551730875450236,0.8755092786198391
16,0.8936219489606355,0.8840501910916825,0.9024477347900045,0.8612782707996467,0.8506190713564885,0.8712355260152983
17,0.8906029558898232,0.880919119416692,0.8995448180277662,0.8584871988985944,0.8477430699208338,0.8685330817247887
18,0.8868872721103609,0.8770685682812696,0.8959689310780735,0.8549964675395592,0.8441479796215282,0.8651513318177695
19,0.8840990490908891,0.874181214797539,0.8932835333758878,0.8510403053326535,0.8400760848624084,0.8613161520150097
20,0.8815431779897073,0.8715360376107835,0.8908203602974403,0.8482461921550909,0.837201745555875,0.8586059713202905
