Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9579242636746144,0.9461402861974327,0.9671748107181786,0.9530154277699856,0.9406863919856767,0.9628324555648727
1,0.9509116409537165,0.9383590751124111,0.960961291179157,0.9446002805049084,0.9314090284049366,0.9553156549435675
2,0.9431977559607293,0.9298705290670732,0.9540550738084723,0.9382889200561005,0.9245011394667431,0.9496275926763216
3,0.932670995291525,0.918381957287407,0.9445342942202862,0.9256567580807751,0.9107784350470036,0.9381387164022976
4,0.9305640578021617,0.9160937570107036,0.9426173589101946,0.9165335299874848,0.9009396434637005,0.9297689494432326
5,0.922136307844708,0.906974100787063,0.9349164131034129,0.9102174489998222,0.8941581356281623,0.9239444743994495
6,0.9151131828801636,0.8994108282104394,0.9284624652942137,0.9024977944593454,0.8858991344367958,0.916796121174681
7,0.9094946829085276,0.8933813958309125,0.9232780995988517,0.895479926695276,0.8784164491499975,0.9102720942917746
8,0.9045746962158238,0.8881153043466441,0.918724423244122,0.889153930352845,0.8716895029068804,0.9043729720660336
9,0.9010604200067488,0.8843613728333004,0.9154642381554047,0.8870435966573873,0.8694490278663399,0.9024013957701561
10,0.8989518542813043,0.8821118955594757,0.9135052469820523,0.8778988173104039,0.8597607202072737,0.8938375283600967
11,0.896140433314044,0.8791158314534857,0.910890021757518,0.8736781499194883,0.8552997701574167,0.8898744223853011
12,0.8926261571049697,0.875375772888317,0.9076159720058059,0.8708621043113672,0.8523267185893052,0.8872268757599899
13,0.8884023740271858,0.870887065606056,0.9036743283927466,0.865225456387022,0.8463835247277719,0.8819197210468088
14,0.8841785909494022,0.8664057481211812,0.8997253144748861,0.8588790593964084,0.8397039268163288,0.8759323215936546
15,0.8813627355642131,0.8634221350165876,0.8970887169796306,0.856056120828138,0.8367366182320415,0.8732652072255889
16,0.8806582089970149,0.8626760620024579,0.8964286035762389,0.850410243691596,0.8308091497476274,0.8679238692575917
17,0.8785446292954223,0.8604389699558255,0.8944471403379637,0.848293039765393,0.8285887338751236,0.8659184956793644
18,0.8778401027282247,0.8596936435734914,0.8937862829262696,0.8447614284424728,0.8248875303626554,0.8625708212503911
19,0.8757265230266321,0.8574587581499683,0.8918026207841417,0.8391108503258012,0.8189727024323148,0.8572074875616417
20,0.8729084167578413,0.854481413755828,0.8891552437803287,0.8362831810744927,0.8160157904652752,0.8545205516522544
21,0.8707948370562483,0.8522502382102275,0.8871678846056334,0.8327456041663936,0.812319196123654,0.8511563435833762
22,0.8679767307874579,0.8492777191139204,0.8845156989241088,0.8306230580215351,0.8101027602387172,0.8491363091883553
23,0.8644540979514699,0.8455657947925265,0.8811967550168316,0.8256704503501967,0.8049354015260429,0.8444186018633502
24,0.8637489967296492,0.8448232413544603,0.8805319790110822,0.8221207063676074,0.8012344548268333,0.8410343634725055
25,0.8623364881495515,0.8433359898009253,0.8791999291651483,0.8171510647919833,0.7960581179883851,0.8362914907258395
26,0.8595114709893562,0.8403633880165757,0.8765339393534767,0.8136013208093945,0.7923642047988739,0.8329002879668989
27,0.8566841306242592,0.8373906328509748,0.8738634402652482,0.8100484766137203,0.7886696610695128,0.8295035158490196
28,0.8545636253504368,0.8351626641210277,0.8718589787725023,0.8072037058442257,0.7857132478583023,0.8267818849948979
29,0.8524431200766148,0.832936037060758,0.8698531842845608,0.8043564264585317,0.7827557962945141,0.8240562735695711
30,0.8517356984002027,0.8321934581452901,0.869183777325291,0.8015091470728384,0.7798000698202006,0.8213289564379438
31,0.8503208550473786,0.8307087376967435,0.867844529160322,0.7979468841969588,0.7761042881287473,0.8179146085166441
32,0.8503208550473786,0.8307087376967435,0.867844529160322,0.7972337949349421,0.7753647406948141,0.8172308554420247
33,0.8489024716361234,0.8292205931293539,0.866501585534608,0.7958076164109081,0.7738859583041692,0.8158630406413688
34,0.8481926869608423,0.8284760674850177,0.8658293759094369,0.7943801588029962,0.7724061732792112,0.8144936657937485
35,,,,0.7929527011950843,0.7709268004919261,0.8131238839786523
36,0.8474829022855618,0.8277316858516157,0.8651570237420863,0.7900977859792603,0.7679692787837572,0.8103831119832833
