Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
83 patients in Cohort 1 and 84 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9761904761904767,0.9640638762499271,0.9842583281961553,0.9567099567099566,0.9414502880206413,0.9680600026937844
1,0.9740259740259744,0.9614966032436327,0.9825151893383194,0.9437229437229439,0.9268013272465425,0.956823964762969
2,0.9729437229437228,0.9602194058033819,0.9816368760439841,0.9415584415584418,0.9243826163387378,0.9549281884940816
3,0.9686147186147188,0.9551485473656596,0.9780841542229753,0.9393939393939399,0.9219695196365503,0.9530267336591163
4,0.9675324675324672,0.9538894162119713,0.9771870836026436,0.9339826839826839,0.9159596181485457,0.9482500187229366
5,0.9642820785038031,0.9501251545356837,0.9744745188770347,0.9307359307359306,0.9123681810880102,0.9453693502510842
6,0.9588647634560287,0.943905310543356,0.9698984000431251,0.9242424242424246,0.9052148210629052,0.9395782601285403
7,0.9512805223891453,0.935291506309809,0.9633961175265926,0.9199083448790372,0.9004596645679274,0.9356932715376104
8,0.9469466703509256,0.9304104967490918,0.9596387568186506,0.9155742655156492,0.8957192812200088,0.931793448402469
9,0.9458619662611768,0.929192761120867,0.958694280803802,0.9090654437228834,0.8886248203900523,0.9259118186657209
10,0.9426078539919297,0.9255488319334124,0.9558514934665042,0.899302211033736,0.8780353005473288,0.9170371471156664
11,0.9393537417226824,0.9219179925947081,0.9529955102137435,0.8938781928730983,0.8721767025343043,0.9120822895910813
12,0.937184333543184,0.9195042310073818,0.9510846732415957,0.8884475841679152,0.866326215812833,0.9071059473541364
13,,,,0.8819308537216961,0.8593254558156014,0.9011145461079355
14,0.937184333543184,0.9195042310073818,0.9510846732415957,0.8764935488282203,0.8534990336813864,0.8961006361786933
15,0.9360971127386095,0.9182960774606741,0.9501253374935179,0.8699687829560501,0.8465248247895272,0.8900665089611371
16,0.9339176084016169,0.9158771102701112,0.9481989157317197,0.8656080371768218,0.8418725761256234,0.8860245232180445
17,0.9328278562331199,0.9146694832357508,0.9472338536357426,0.8601571049527856,0.8360681104366321,0.8809612689665299
18,0.9295547760358107,0.9110488765373882,0.9443285701738127,0.856882395162356,0.832586135056465,0.8779142633399651
19,0.9295547760358107,0.9110488765373882,0.9443285701738127,0.8557908252322128,0.8314263812129304,0.8768976974684797
20,0.9262701301840933,0.9074239355670626,0.9414039769551924,0.8514133785558328,0.826778763934838,0.8728175206547689
21,0.9240803662829495,0.90501275863829,0.9394488573540296,0.8481302935485486,0.8232976227281249,0.8697528657907202
22,0.9207957204312328,0.9014037408484642,0.9365085105389771,0.8426584852030735,0.8175041197746281,0.864636796944584
23,0.9196982285117677,0.9001994751886178,0.9355243390259412,0.8382810385266941,0.8128766177389036,0.8605367162620099
24,0.9174979935153281,0.8977873344149166,0.933548917138328,0.8371866768575993,0.8117207278769133,0.8595107203210469
25,0.9174979935153281,0.8977873344149166,0.933548917138328,0.8317148685121251,0.8059470333218397,0.8543750424195602
26,0.9163952315038917,0.8965794202243529,0.9325576732060609,0.8273374218357455,0.8013348032886876,0.8502598394175227
27,0.9163952315038917,0.8965794202243529,0.9325576732060609,0.8262416106809963,0.8001809894188445,0.8492288825587304
28,0.9152898090292185,0.8953691560338631,0.9315633659708467,0.8251443442657496,0.7990258636750357,0.8481963088925426
29,0.9130789640798723,0.8929514249659068,0.9295720217153108,0.8229498114352553,0.7967166903573107,0.8461300965554327
30,0.9119722016991699,0.8917422731402517,0.9285739342094732,0.8207552786047617,0.7944089369284468,0.8440624814966189
31,0.9108640945282107,0.8905323599826642,0.9275738871965017,0.8196580121895144,0.7932555862004997,0.8430281542790614
32,0.9097532846568356,0.8893200066831938,0.9265707918973325,,,
33,0.9086370229578697,0.8881018309436952,0.92556242855251,0.8174634793590205,0.7909499241228832,0.8409584727959709
34,0.9075193882432848,0.8868828545610541,0.9245520988646595,0.8152689465285263,0.7886456315378988,0.8388874379210445
35,,,,0.8108739656847068,0.7840343265771632,0.8347362261562652
36,0.9064017535286997,0.885664754484448,0.9235409256970593,0.8075777300518421,0.7805793258835262,0.8316193837937086
37,0.9041664840995285,0.8832311250255739,0.9215161026689713,0.8053772457737718,0.7782742043397953,0.8295372714721366
38,0.9041664840995285,0.8832311250255739,0.9215161026689713,0.8031767614957016,0.7759703694356627,0.8274538902759215
39,0.9019228948089594,0.8807906752083189,0.9194812788947258,0.8020765193566665,0.7748189292737415,0.8264117289188758
40,0.9019228948089594,0.8807906752083189,0.9194812788947258,0.8020765193566665,0.7748189292737415,0.8264117289188758
41,0.9007997031591353,0.8795699854539679,0.9184615370994164,0.7998730124353568,0.7725135570039122,0.8243238292064982
42,0.899676511509311,0.8783501092686122,0.9174410147050769,0.7976695055140471,0.7702094385567444,0.8222346942247007
43,0.8985490973344872,0.8771258936271754,0.916416271196765,0.7965662281896844,0.7690561139630481,0.8211883332630872
44,0.8974202668101977,0.8759007578162127,0.9153896017067147,0.7965662281896844,0.7690561139630481,0.8211883332630872
45,0.8951626057616182,0.8734528594413237,0.9133339962803798,,,
46,,,,0.7943566131322928,0.766746918599264,0.8190920160551426
47,,,,0.7921469980749007,0.7644389540767464,0.816994488995813
48,0.8951626057616182,0.8734528594413237,0.9133339962803798,0.7888279464069891,0.7609740405043682,0.8138418944403139
49,0.8940309210514263,0.8722266122993227,0.9123027393269028,0.7866152452950478,0.7586656034839104,0.8117386863386877
50,0.8940309210514263,0.8722266122993227,0.9123027393269028,0.7832868309990179,0.7551945872946099,0.8085734504856944
51,0.8928963640450157,0.870997653787556,0.9112683900196099,,,
52,,,,0.7810647406983113,0.7528785007360564,0.8064590710760691
53,0.8928963640450157,0.870997653787556,0.9112683900196099,,,
54,0.8917589164475062,0.8697659618255098,0.9102309358888762,0.7810647406983113,0.7528785007360564,0.8064590710760691
55,,,,0.7810647406983113,0.7528785007360564,0.8064590710760691
56,0.8906214688499965,0.8685350343849179,0.9091927565438965,0.7799505256616516,0.7517173174822955,0.8053986580275566
57,0.889481108454542,0.8673013396302329,0.9081514638039343,,,
58,,,,0.7788363106249923,0.7505564303940926,0.8043379557485735
59,0.8872003876636324,0.864836193556866,0.9060667532382687,0.7777220955883328,0.7493958377927105,0.8032769658353407
60,,,,0.7766078805516735,0.7482355380218938,0.8022156898633155
61,0.8860570881949937,0.8636011786960748,0.9050209277251658,0.7743794504783542,0.7459158104569764,0.8000922859430052
62,0.8860570881949937,0.8636011786960748,0.9050209277251658,0.773265235441695,0.7447563794592555,0.7990301610449547
64,,,,0.7721494125911295,0.7435954226653108,0.7979663372042402
65,0.8849108306423481,0.8623633293921151,0.9039719690277969,0.7710319749462793,0.742432932825337,0.796900808064031
66,0.8837645730897021,0.8611262072378301,0.9029223239753645,,,
67,0.8814720579844116,0.8586541041306774,0.9008210104340215,,,
68,0.8803258004317659,0.857419103704171,0.8997693592207743,,,
69,,,,0.7687938560059414,0.740105159785635,0.7947660464699304
70,0.87917954287912,0.8561847914613666,0.8987170562182365,,,
71,0.87917954287912,0.8561847914613666,0.8987170562182365,0.7676731652537466,0.7389398657452332,0.7936968063464286
72,0.8780302885747031,0.8549475697662955,0.897661619358678,,,
73,0.8768810342702857,0.8537110264577963,0.8966055410491943,,,
74,0.8757317799658689,0.8524751526796169,0.8955488291505301,0.7676731652537466,0.7389398657452332,0.7936968063464286
76,,,,0.7665508360647795,0.7377730131094102,0.7926258402824388
77,0.8745825256614517,0.8512399397940604,0.8944914913416552,0.7643028863988999,0.7354364625284255,0.7904801645350955
79,0.8722840170526176,0.8487714631981358,0.8923749678349948,,,
80,0.8722840170526176,0.8487714631981358,0.8923749678349948,0.7643028863988999,0.7354364625284255,0.7904801645350955
81,0.8711302022152462,0.8475327508201196,0.8913119871657315,0.7620516260560458,0.7330973302065644,0.788330452088696
82,0.8699763873778751,0.8462946785059626,0.8902484013770338,0.760925995884619,0.7319281910303579,0.7872551815425234
83,0.8688210402498835,0.8450554156347745,0.8891829358015232,,,
84,0.8676641547102699,0.8438149523076706,0.8881155885930957,0.7586747355417649,0.7295907592672614,0.7851038187034644
85,,,,0.7575474328143625,0.7284205852190334,0.7840262480101018
86,0.8676641547102699,0.8438149523076706,0.8881155885930957,0.756418450053089,0.7272488047050257,0.7829469175989537
87,0.8676641547102699,0.8438149523076706,0.8881155885930957,,,
88,0.8676641547102699,0.8438149523076706,0.8881155885930957,0.756418450053089,0.7272488047050257,0.7829469175989537
89,0.8664979394485629,0.8425640229691272,0.8870398428245504,,,
90,0.8664979394485629,0.8425640229691272,0.8870398428245504,0.7541503287635748,0.7248946840419622,0.7807784443122369
91,0.8664979394485629,0.8425640229691272,0.8870398428245504,,,
92,0.8653269962871458,0.8413081124401864,0.88595954135574,0.7530162681188173,0.7237180495028944,0.7796937964822788
93,0.8653269962871458,0.8413081124401864,0.88595954135574,0.750748146829303,0.7213656248484731,0.7775236850576419
94,,,,0.7496140861845454,0.720189831923486,0.7764382240577389
95,0.8653269962871458,0.8413081124401864,0.88595954135574,,,
96,0.8641464683249532,0.8400414469278653,0.884870621299157,0.7496140861845454,0.720189831923486,0.7764382240577389
97,0.8641464683249532,0.8400414469278653,0.884870621299157,,,
98,0.8641464683249532,0.8400414469278653,0.884870621299157,0.7484783072660841,0.7190123904645183,0.7753509702743497
99,0.8641464683249532,0.8400414469278653,0.884870621299157,0.7484783072660841,0.7190123904645183,0.7753509702743497
100,0.8641464683249532,0.8400414469278653,0.884870621299157,0.7462032972136032,0.7166544732085482,0.7731725935241087
102,0.862954542161746,0.8387618753964113,0.8837715638808235,,,
103,0.862954542161746,0.8387618753964113,0.8837715638808235,,,
104,0.862954542161746,0.8387618753964113,0.8837715638808235,,,
108,,,,0.7462032972136032,0.7166544732085482,0.7731725935241087
109,0.862954542161746,0.8387618753964113,0.8837715638808235,0.7450623135787199,0.7154720336985777,0.7720799156203192
111,0.8617559941865215,0.8374751000375257,0.882666350306294,0.7427803463089533,0.7131079927174989,0.7698937528583678
112,0.8593588982360717,0.8349036126683784,0.8804540382984123,,,
114,0.8581586763111608,0.8336168943257837,0.8793455530098663,0.7427803463089533,0.7131079927174989,0.7698937528583678
116,0.8581586763111608,0.8336168943257837,0.8793455530098663,0.7416376073146321,0.7119244232075981,0.768798711406061
118,0.8569567734031622,0.8323288492352804,0.8782350472639371,0.7404948683203102,0.7107411313470822,0.7677034027510345
119,0.8569567734031622,0.8323288492352804,0.8782350472639371,,,
120,,,,0.7404948683203102,0.7107411313470822,0.7677034027510345
122,0.8569567734031622,0.8323288492352804,0.8782350472639371,,,
123,0.8545428106611811,0.8297427031025381,0.8760036974262196,,,
124,0.8545428106611811,0.8297427031025381,0.8760036974262196,0.7393485914343655,0.7095541562052854,0.7666046847514112
125,0.8545428106611811,0.8297427031025381,0.8760036974262196,,,
126,0.8521151322218027,0.8271429547452919,0.8737584169260618,,,
127,0.8508995614197742,0.8258420276538793,0.8726334147229907,0.7393485914343655,0.7095541562052854,0.7666046847514112
128,0.8508995614197742,0.8258420276538793,0.8726334147229907,,,
130,0.849682251603723,0.8245397009415854,0.8715063519145727,,,
131,0.849682251603723,0.8245397009415854,0.8715063519145727,0.7393485914343655,0.7095541562052854,0.7666046847514112
132,0.849682251603723,0.8245397009415854,0.8715063519145727,,,
133,0.8472371228221297,0.821924581424831,0.8692416042057022,,,
134,,,,0.7381987491459763,0.7083634690501911,0.7655025315870112
135,0.8472371228221297,0.821924581424831,0.8692416042057022,,,
136,0.8472371228221297,0.821924581424831,0.8692416042057022,0.7370489068575868,0.7071730631682885,0.7644001088081886
137,0.8460074608151308,0.8206096112058396,0.868102369951473,0.7358990645691974,0.7059829372198145,0.763297417625776
138,0.8447777988081319,0.8192953033913324,0.866962536581971,,,
140,0.8447777988081319,0.8192953033913324,0.866962536581971,0.7358990645691974,0.7059829372198145,0.763297417625776
141,0.8447777988081319,0.8192953033913324,0.866962536581971,,,
142,0.8435354785157675,0.817966683577528,0.8658114660707991,0.7358990645691974,0.7059829372198145,0.763297417625776
143,0.8422931582234022,0.8166387412144798,0.8646597870058511,0.7347438070110043,0.7047870315427006,0.7621896463420308
144,,,,0.7335885494528108,0.7035914089440148,0.7610816044409006
145,,,,0.7335885494528108,0.7035914089440148,0.7610816044409006
146,0.8422931582234022,0.8166387412144798,0.8646597870058511,0.7324296417917484,0.7023919850871131,0.7599700487518547
147,0.8410471624272139,0.8153071247860334,0.8635044137131335,0.731270734130685,0.7011928455473458,0.7588582217303286
148,0.8397993179725742,0.813973995193656,0.8623468822654672,0.731270734130685,0.7011928455473458,0.7588582217303286
150,0.8385496166065438,0.8126393406177788,0.8611871878550957,0.7301081415486008,0.6999898680681297,0.7577428485678862
151,0.8385496166065438,0.8126393406177788,0.8611871878550957,0.7301081415486008,0.6999898680681297,0.7577428485678862
152,0.8385496166065438,0.8126393406177788,0.8611871878550957,0.7301081415486008,0.6999898680681297,0.7577428485678862
153,0.8372924207795479,0.8112965037653043,0.860020585465845,,,
154,0.8372924207795479,0.8112965037653043,0.860020585465845,,,
155,,,,0.7301081415486008,0.6999898680681297,0.7577428485678862
156,0.8372924207795479,0.8112965037653043,0.860020585465845,,,
158,0.8372924207795479,0.8112965037653043,0.860020585465845,,,
159,,,,0.7301081415486008,0.6999898680681297,0.7577428485678862
160,0.8372924207795479,0.8112965037653043,0.860020585465845,,,
161,0.8360199398969037,0.8099362836707017,0.858840519814724,,,
162,0.8347474590142601,0.8085767664838798,0.857659830730074,0.7289362183679449,0.6987767366585431,0.7566189125273349
163,0.8347474590142601,0.8085767664838798,0.857659830730074,0.7289362183679449,0.6987767366585431,0.7566189125273349
165,0.8321947144912807,0.8058506261710978,0.8552900515208729,,,
166,,,,0.7289362183679449,0.6987767366585431,0.7566189125273349
168,0.8309183422297906,0.804488591983106,0.8541042419838247,,,
170,0.8309183422297906,0.804488591983106,0.8541042419838247,0.7265848112119188,0.6963428962491988,0.7543634869139824
171,0.8309183422297906,0.804488591983106,0.8541042419838247,,,
174,0.8296380366177256,0.8031226020141622,0.852914510744735,0.7265848112119188,0.6963428962491988,0.7543634869139824
175,0.8296380366177256,0.8031226020141622,0.852914510744735,0.7265848112119188,0.6963428962491988,0.7543634869139824
176,,,,0.7265848112119188,0.6963428962491988,0.7543634869139824
177,0.8296380366177256,0.8031226020141622,0.852914510744735,,,
178,,,,0.7265848112119188,0.6963428962491988,0.7543634869139824
179,0.828351776095838,0.801750275998958,0.8517191521807315,0.7265848112119188,0.6963428962491988,0.7543634869139824
180,0.828351776095838,0.801750275998958,0.8517191521807315,,,
181,0.8270615085318256,0.8003739162805505,0.8505198045099411,0.7265848112119188,0.6963428962491988,0.7543634869139824
182,0.8270615085318256,0.8003739162805505,0.8505198045099411,0.7253956380348124,0.6951113372644705,0.753223396956134
183,0.825767202571682,0.798993488791885,0.8493164397515325,0.7218222605075472,0.6914119522787768,0.7497961879526437
184,0.825767202571682,0.798993488791885,0.8493164397515325,0.7206291658620799,0.6901772356187049,0.7486514586911422
185,,,,0.7206291658620799,0.6901772356187049,0.7486514586911422
188,0.825767202571682,0.798993488791885,0.8493164397515325,0.7194321074470268,0.6889383892052946,0.7475029215575781
189,0.825767202571682,0.798993488791885,0.8493164397515325,,,
190,0.825767202571682,0.798993488791885,0.8493164397515325,0.7194321074470268,0.6889383892052946,0.7475029215575781
191,,,,0.7182310521758296,0.6876953783864902,0.7463505455014561
