Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
140 patients in Cohort 1 and 81 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9247554552294952,0.909219822393492,0.9377239166220083,0.9398043641835963,0.9256154975837825,0.9513580458726739
1,0.9104589917230994,0.8937966662665786,0.9246181507883653,0.9292701279157262,0.9141191686428407,0.9418336024921279
2,0.9006691100916681,0.8833032304674124,0.915575251633624,0.9224981188863807,0.9067757089652712,0.9356634922837278
3,0.8878455130468114,0.8696271635616226,0.9036604467989661,0.912716328066215,0.8962234836500886,0.926695924781802
4,0.8772849037157535,0.858417585040988,0.8937952745997098,0.903679532738827,0.8865244393458963,0.9183614872922441
5,0.8720000548981889,0.8528237064911914,0.8888426428309217,0.8968962835356161,0.8792715604523255,0.9120777981201211
6,0.8629403140680777,0.8432572670115943,0.8803294145605162,0.8788076189937216,0.8600324638607226,0.8952194300505752
7,0.8561395585281364,0.8360935476139802,0.8739214511315001,0.8697555233474346,0.8504527976893319,0.8867347532493087
8,0.8500944424926332,0.8297378947626292,0.8682134313224105,0.8622055622072659,0.8424843459001005,0.879636437933499
9,0.8478275239793192,0.827357336797975,0.866070122580661,0.8584305816371814,0.838507201057818,0.8760802206716262
10,0.8372391338493367,0.8162567054968496,0.8560404662253591,0.8554105971811139,0.8353287396944843,0.8732320022852776
11,0.832693039004906,0.8114993782845049,0.8517254809297169,0.8501209556791104,0.8297678573724538,0.8682368171737794
12,0.8273892616864037,0.8059559478255356,0.8466845891828966,0.8463359113528457,0.8257932598887964,0.8646578434499101
13,0.8228431668419726,0.8012100582764996,0.8423582372118761,0.8425474784461632,0.8218189546745102,0.861071782329985
14,0.819047764780893,0.7972511665249687,0.8387429032246407,0.840274418702154,0.8194363085579514,0.8589182212641745
15,0.8152523627198142,0.7932957052968526,0.8351241650291468,0.8357241962182068,0.814670631356692,0.854603258255202
