Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
102 patients in Cohort 1 and 63 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9673507462686569,0.9548199525866976,0.9764489401737868,0.9375000000000001,0.9212695189813428,0.9504747008093816
1,0.9626865671641792,0.9494777703512812,0.9724920141167954,0.9281716417910447,0.9110129960144779,0.9421272043537082
2,0.9617537313432838,0.9484150099145718,0.9716948338827497,0.926305970149254,0.9089709708808182,0.940448364867241
3,0.9570895522388059,0.9431262594859812,0.967683430595506,0.9207033130717386,0.9028546828135607,0.9353904701249239
4,0.954291044776119,0.9399712629145601,0.9652580422377812,0.9178991405446163,0.8998019552907298,0.9328502848424366
5,0.9524253731343281,0.9378748209626137,0.9636341301407807,0.9141564325301625,0.8957356765599692,0.9294515809655408
6,0.9449553702077848,0.9295288203082764,0.9570830593056193,0.8991856004723506,0.8795596369652704,0.9157677332292168
7,0.9365433045976261,0.9202102186890269,0.9496247497780462,0.8935656904693987,0.8735194284866424,0.9105986582648317
8,0.9318652661131226,0.9150590953768213,0.9454456623128892,0.8870022488814808,0.866484542688848,0.9045421675130496
9,0.9290556220946907,0.9119746672415288,0.942926176792944,0.8851269798563615,0.8644783592761033,0.9028079717136767
10,0.92624597807626,0.9088970999450698,0.9403998280446944,0.8804388072935632,0.859469897741775,0.8984655108703232
11,0.9206266900393965,0.9027611642859913,0.9353279276953703,0.8785615390477344,0.8574668812180729,0.8967241256175622
12,0.9187535940271092,0.9007212034334431,0.933631942799284,0.8766822630283807,0.8554630240300555,0.8949795293680137
13,0.9178151327461831,0.8996998448345315,0.9327814321490767,0.8738603244134825,0.8524564855385713,0.8923572921669437
14,0.916875710911233,0.8986779460397787,0.9319295080093857,0.8700977395936182,0.8484528413524659,0.8888559398952445
15,0.9149968672413333,0.8966360112878413,0.930223806125507,0.8625644258309026,0.8404527129509499,0.8818297554532828
16,0.9131141576379563,0.8945918083355853,0.9285125197769413,0.8606790391077749,0.8384536282676186,0.8800681349102111
17,0.9112314480345786,0.8925499806009934,0.9267988769668462,0.8531292229752506,0.8304604773704203,0.8730019030382375
18,0.9093487384312013,0.8905104601179548,0.9250829446417225,0.8512417689421201,0.8284652832180521,0.8712322828435932
19,,,,0.8493543149089889,0.8264712870090026,0.869461476519586
20,0.9074660288278243,0.8884731823979026,0.9233647863549855,0.8436856542978054,0.8204890717252236,0.8641366572911494
21,0.9046390318532828,0.8854178139613325,0.9207810755948411,0.8408481464918709,0.8174981711306791,0.8614676783575662
22,0.9027524019641203,0.8833811880344633,0.9190543487413247,0.8361189668153135,0.8125188764848642,0.8570139041979478
23,0.9018081002884262,0.8823624685231359,0.9181893967667393,,,
24,0.8999194969370363,0.880326556590258,0.9164579827326576,0.835173130880002,0.8115238307273841,0.8561223453794478
25,0.8999194969370363,0.880326556590258,0.9164579827326576,0.8313897871387562,0.807546295493118,0.8525534916390877
26,0.8989742033478171,0.8793081654010013,0.9155907068811945,0.8294938013071967,0.8055541705684313,0.8507637522989098
