Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
115 patients in Cohort 1 and 79 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9356187290969901,0.920162168090566,0.9481674679840575,0.939799331103679,0.9247563995536676,0.9519132474648409
1,0.9205685618729098,0.9037488397218026,0.9345560333086855,0.9306020066889636,0.9146704922508601,0.9436509965703087
2,0.9155472788081488,0.898309834698067,0.929977349940997,0.9280936454849501,0.9119327338771747,0.9413846363362072
3,0.9121997567649746,0.8946929850448693,0.9269157203621652,0.9255852842809369,0.9092000219799311,0.939113204211109
4,0.9055047126786258,0.8874796155298205,0.9207720938722446,0.9214009023447659,0.9046515235635112,0.9353137250162471
5,0.8979727880814842,0.8793943604710591,0.9138306848706204,0.9163796440213616,0.8992097361372352,0.9307378942155272
6,0.8845826999087874,0.8650895833581667,0.9014213279947382,0.9021397409607006,0.8838618072713057,0.9176760457891483
7,0.8745210957392087,0.8543902088484824,0.8920466504384627,0.895432382291848,0.8766707734249425,0.9114851535952581
8,0.8627600051144731,0.8419310515157172,0.8810407136930508,0.8870481839557818,0.8677127988897814,0.9037157573216288
9,0.8560328315853153,0.8348259714648225,0.8747240621832134,0.8828481452059914,0.8632364288616643,0.8998124142159626
10,0.8484647613650127,0.8268504735438017,0.8676002059380129,0.8778080987062424,0.8578746462223306,0.8951185777434686
11,0.8375331043801318,0.8153611958975241,0.8572794651047371,0.8710880367065775,0.8507414111381921,0.8888443785278449
12,0.8308059308509745,0.8083078630414581,0.8509113346516609,0.8677247624335794,0.8471774831731148,0.885698069130237
13,0.8274423440863952,0.8047858065535315,0.8477226827809726,0.8593165767510834,0.8382854203709722,0.8778146213924151
14,0.8207083270439832,0.7977428490709408,0.8413305062600784,0.8567941210463348,0.8356225346375954,0.8754448757277117
