"User-added Compound","LINCS Analog","LINCS Analog Name","Similarity"
"CMP1","LSM-4966","AC1L1J6H",1
"CMP1","LSM-3347","Pravastatin",1
"CMP1","LSM-1760","AC1O9ATU",1
"CMP1","LSM-45836","Pravastatin sodium",1
"CMP1","LSM-5402","ZINC12496501",1
"CMP1","LSM-6191","AC1MSUFC",0.973
"CMP1","LSM-5348","AC1OFCDP",0.821
"CMP1","LSM-6486","PCZOHLXUXFIOCF-WUIYGHNESA-N",0.821
"CMP1","LSM-2189","Lovastatin",0.821
"CMP1","LSM-1830","Kolestevan",0.8
"CMP1","LSM-6463","CID 71684614",0.8
"CMP1","LSM-2492","Simvastatin",0.8
"CMP1","LSM-5417","BRD-K28026280-001-01-7",0.8
"CMP1","LSM-4123","Mevastatin",0.689
"CMP1","LSM-5461","ZINC4521332",0.689
"CMP1","LSM-36977","ZINC21985599",0.612
"CMP1","LSM-43147","Iloprost",0.553
"CMP1","LSM-43345","Iloprost",0.553
"CMP1","LSM-2653","Aliskiren",0.538
"CMP1","LSM-1835","Budesonide",0.519
"CMP1","LSM-1673","Budesonide",0.519
"CMP1","LSM-1472","Budesonide",0.519
"CMP1","LSM-5090","BRD-A58753560-001-01-2",0.519
"CMP1","LSM-6705","HSCI1_000349",0.511
"CMP1","LSM-43312","Midecamycin",0.509
"CMP1","LSM-36355","Acolongifloroside K",0.509
"CMP1","LSM-1740","SPECTRUM2_001084",0.509
"CMP1","LSM-1580","NSC25485",0.509
"CMP1","LSM-2781","Ouabain",0.509
"CMP1","LSM-43160","BRD-A94810754-001-01-2",0.509
"CMP1","LSM-5397","Ivermectin",0.5
"CMP1","LSM-6519","Dirithromycin",0.5
"CMP1","LSM-21771","BRD-K82869371-001-01-3",0.5
"CMP1","LSM-21804","BRD-K86947360-001-01-6",0.5
"CMP1","LSM-21745","BRD-K48562317-001-01-4",0.5
"CMP1","LSM-21823","BRD-K56237820-001-01-2",0.5
"CMP1","LSM-21699","BRD-K63921090-001-01-5",0.5
"CMP1","LSM-21929","BRD-K80110418-001-01-9",0.5
"CMP1","LSM-21877","BRD-K33743088-001-01-4",0.5
"CMP1","LSM-5636","Dirithromycin",0.5
"CMP1","LSM-5541","Cholic acid",0.5
"CMP1","LSM-5935","Amikacin",0.5
"CMP1","LSM-42824","Ivermectin",0.5
"CMP1","LSM-45899","AMIKACIN HYDRATE",0.5
"CMP1","LSM-4339","ACON1_002294",0.5
"CMP1","LSM-43096","ACON1_002013",0.5
"CMP1","LSM-42697","Dihydroouabain",0.5
"CMP1","LSM-3583","Alpha-Solanine",0.492
"CMP1","LSM-4390","MEGXP0_001444",0.492
"CMP1","LSM-28740","BRD-K42529194",0.49
"CMP1","LSM-28774","BRD-K92825272",0.49
"CMP1","LSM-28917","BRD-K06367273",0.49
"CMP1","LSM-28926","BRD-K26232524",0.49
"CMP1","LSM-4357","ACON1_001912",0.49
"CMP1","LSM-28756","BRD-K18621941",0.49
"CMP1","LSM-29002","BRD-K32925057",0.49
"CMP1","LSM-29010","BRD-K96958073",0.49
"CMP1","LSM-29036","BRD-K32079609",0.49
"CMP1","LSM-43229","Epothilone A",0.49
"CMP1","LSM-36622","MEGXM0_000203",0.489
"CMP1","LSM-36927","CCG-207980",0.484
"CMP1","LSM-6412","Asiaticoside",0.484
"CMP1","LSM-1719","PRESTWICK3_000989",0.484
"CMP1","LSM-3222","Glycocholic acid",0.483
"CMP1","LSM-6431","SCHEMBL1219667",0.483
"CMP1","LSM-5659","Monensin",0.482
"CMP1","LSM-34530","BRD-K90060707",0.482
"CMP1","LSM-34547","BRD-K67261586",0.482
"CMP1","LSM-34564","BRD-K55465787",0.482
"CMP1","LSM-5353","Chenodiol",0.482
"CMP1","LSM-34542","BRD-K13087600",0.482
"CMP1","LSM-34440","BRD-K88856685",0.482
"CMP1","LSM-34392","BRD-K64317863",0.482
"CMP1","LSM-34449","BRD-K70148257",0.482
"CMP1","LSM-34488","BRD-K88069191",0.482
"CMP1","LSM-6555","Ursodiol",0.482
"CMP1","LSM-6511","CID 52983245",0.482
"CMP1","LSM-45742","Chenodeoxycholic Acid",0.482
"CMP1","LSM-43114","Spiramycin",0.482
"CMP1","LSM-5720","Urosiol",0.482
"CMP1","LSM-5509","Chenodeoxycholic-acid",0.482
"CMP1","LSM-6685","Withaferin A",0.481
"CMP1","LSM-6721","NSC-101088",0.481
"CMP1","LSM-6531","NSC-101088",0.481
"CMP1","LSM-5073","Withaferin-A",0.481
"CMP1","LSM-6432","BRD-A36844779",0.481
"CMP1","LSM-1820","SMP2_000249",0.479
"CMP1","LSM-1556","Karakoline",0.478
"CMP1","LSM-43169","Tunicamycin From Streptomyces Sp.",0.477
"CMP1","LSM-43347","Oligomycin-A",0.476
"CMP1","LSM-42696","Lanatoside C",0.476
"CMP1","LSM-6428","SPBIO_002612",0.476
"CMP1","LSM-43230","BRD-K74133369-001-01-8",0.476
"CMP1","LSM-43272","Oligomycin A",0.476
"CMP1","LSM-5496","Lanatoside-C",0.476
"CMP1","LSM-43165","Oligomycin C",0.475
"CMP1","LSM-6392","Protoveratrine A",0.475
"CMP1","LSM-5866","Taurocholate",0.475
"CMP1","LSM-1573","Periplocymarin",0.475
"CMP1","LSM-45518","Tacalcitol",0.474
"CMP1","LSM-6427","Solasodine",0.473
"CMP1","LSM-46041","Josamycin",0.472
"CMP1","LSM-5634","MLS001401410",0.472
"CMP1","LSM-43211","CPD000469235",0.472
"CMP1","LSM-18481","MLS000576054",0.471
"CMP1","LSM-4336","MEGXP0_001964",0.47
"CMP1","LSM-45947","Tauroursodeoxy cholic acid dihydrate",0.467
"CMP1","LSM-1756","Cymarin",0.467
"CMP1","LSM-21644","SPECTRUM_000252",0.467
"CMP1","LSM-42701","Cymarin",0.467
"CMP1","LSM-8895","BRD-K07748118",0.464
"CMP1","LSM-10990","BRD-K42182933",0.464
"CMP1","LSM-12970","BRD-K74192638",0.464
"CMP1","LSM-8746","BRD-K05391634",0.464
"CMP1","LSM-10259","BRD-K30377297",0.464
"CMP1","LSM-12463","BRD-K66149656",0.464
"CMP1","LSM-13231","BRD-K78584123",0.464
"CMP1","LSM-9257","BRD-K13706246",0.464
"CMP1","LSM-46003","Ammonium Glycyrrhizinate",0.464
"CMP1","LSM-14466","BRD-K98259048",0.463
"CMP1","LSM-9783","BRD-K22356478",0.463
"CMP1","LSM-13950","BRD-K89585847",0.463
"CMP1","LSM-9627","BRD-K19825378",0.463
"CMP1","LSM-10803","BRD-K39144966",0.463
"CMP1","LSM-11340","BRD-K47826846",0.463
"CMP1","LSM-11668","BRD-K53148273",0.463
"CMP1","LSM-12169","BRD-K61741250",0.463
"CMP1","LSM-29898","BRD-K71881549",0.462
"CMP1","LSM-31775","BRD-K89853033",0.462
"CMP1","LSM-31590","BRD-K19009595",0.462
"CMP1","LSM-6367","Aconitine",0.462
"CMP1","LSM-31747","BRD-K40630587",0.462
"CMP1","LSM-31518","BRD-K88007585-001-01-6",0.462
"CMP1","LSM-31729","BRD-K13274297-001-01-1",0.462
"CMP1","LSM-29956","BRD-K82460510",0.462
"CMP1","LSM-21625","Aconitine",0.462
"CMP1","LSM-29709","BRD-K34258713",0.462
"CMP1","LSM-1713","Ginsenoside RC",0.46
"CMP1","LSM-42700","Helveticoside",0.459
"CMP1","LSM-6475","AC1O8PXE",0.459
"CMP1","LSM-1699","PRESTWICK3_000646",0.459
"CMP1","LSM-46135","KS-00000TTF",0.458
"CMP1","LSM-10706","BRD-K37654434",0.458
"CMP1","LSM-11629","BRD-K52356070",0.458
"CMP1","LSM-14477","BRD-K98463649",0.458
"CMP1","LSM-12529","BRD-K67348888",0.458
"CMP1","LSM-12117","BRD-K60983473",0.458
"CMP1","LSM-13316","BRD-K80059205",0.458
"CMP1","LSM-43293","Ixabepilone",0.458
"CMP1","LSM-39686","BRD-K43814749",0.457
"CMP1","LSM-5821","Azithromycin",0.457
"CMP1","LSM-5371","Lithocholic acid",0.456
"CMP1","LSM-34276","BRD-K52423731",0.456
"CMP1","LSM-34304","BRD-K09975619",0.456
"CMP1","LSM-34315","BRD-K32402344",0.456
"CMP1","LSM-34453","BRD-K55538850",0.456
"CMP1","LSM-34425","BRD-K45734531",0.456
"CMP1","LSM-34557","BRD-K88504000",0.456
"CMP1","LSM-36393","4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-Dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",0.456
"CMP1","LSM-6441","SPECTRUM_001170",0.456
"CMP1","LSM-34560","BRD-K19264579",0.456
"CMP1","LSM-34323","BRD-K34590335",0.456
"CMP1","LSM-5529","Deoxycholic acid",0.456
"CMP1","LSM-5223","Lithocholic-acid",0.456
"CMP1","LSM-36633","MEGXP0_000816",0.456
"CMP1","LSM-6467","SMP2_000216",0.452
"CMP1","LSM-6534","Tobramycin",0.452
"CMP1","LSM-45798","D-LACTITOL MONOHYDRATE",0.452
"CMP1","LSM-2511","Digoxin",0.452
"CMP1","LSM-1930","AC1NWALF",0.452
"CMP1","LSM-5141","Lanacordin",0.452
"CMP1","LSM-5523","BRD-K40476324-001-01-6",0.452
"CMP1","LSM-36376","Tunicamycin B3",0.451
"CMP1","LSM-5760","Glycodeoxycholate",0.45
"CMP1","LSM-1775","Glycodeoxycholic acid",0.45
"CMP1","LSM-36659","MEGXP0_001265",0.449
"CMP1","LSM-43208","Patupilone",0.449
"CMP1","LSM-12475","BRD-K66413861",0.449
"CMP1","LSM-10762","BRD-K38524184",0.449
"CMP1","LSM-46001","Epothilone B (EPO906, Patupilone)",0.449
"CMP1","LSM-11754","CHEMBL2359061",0.449
"CMP1","LSM-10172","BRD-K28739456",0.449
"CMP1","LSM-10729","BRD-K37991633",0.449
"CMP1","LSM-10585","BRD-K35915475",0.449
"CMP1","LSM-14310","BRD-K95899688",0.449
"CMP1","LSM-13434","BRD-K82004089",0.449
"CMP1","LSM-6471","CHEMBL365417",0.448
"CMP1","LSM-42695","Peruvoside",0.448
"CMP1","LSM-6370","Hecogenin",0.448
"CMP1","LSM-42923","Carbacyclin",0.448
"CMP1","LSM-45682","CICLESONIDE",0.448
"CMP1","LSM-3304","Cyclopamine",0.446
"CMP1","LSM-4304","4449-51-8",0.446
"CMP1","LSM-5361","SPECTRUM2_000027",0.446
"CMP1","LSM-3354","Veratridine",0.446
"CMP1","LSM-36679","FPA1_000240",0.446
"CMP1","LSM-29630","BRD-K44692299",0.444
"CMP1","LSM-29520","BRD-K19962165",0.444
"CMP1","LSM-20948","5ALPHA-THDOC",0.444
"CMP1","LSM-5166","PRESTWICK3_000650",0.444
"CMP1","LSM-45331","",0.444
"CMP1","LSM-29420","BRD-K12866026",0.444
"CMP1","LSM-29449","BRD-K73573019",0.444
"CMP1","LSM-29590","BRD-K00231307",0.444
"CMP1","LSM-29601","BRD-K50830147",0.444
"CMP1","LSM-29616","BRD-K36460068",0.444
"CMP1","LSM-8600","BRD-K02602944",0.444
"CMP1","LSM-29548","BRD-K25444802",0.444
"CMP1","LSM-14013","BRD-K90671064",0.444
"CMP1","LSM-5477","Deoxy Cholate",0.443
"CMP1","LSM-10843","BRD-K39685946",0.443
"CMP1","LSM-13310","BRD-K79983157",0.443
"CMP1","LSM-30030","BRD-K88925664",0.442
"CMP1","LSM-2922","Alfaxalone",0.442
"CMP1","LSM-30275","BRD-K19752998",0.442
"CMP1","LSM-30173","BRD-K73462370",0.442
"CMP1","LSM-30213","BRD-K31606237",0.442
"CMP1","LSM-5504","ZINC03983979",0.442
"CMP1","LSM-29978","BRD-K90806964",0.442
"CMP1","LSM-29984","BRD-K51196703",0.442
"CMP1","LSM-30049","BRD-K11987248",0.442
"CMP1","LSM-30000","BRD-K80469338",0.442
"CMP1","LSM-45816","Sarsasapogenin",0.441
"CMP1","LSM-5119","Treprostinil",0.441
"CMP1","LSM-9345","BRD-K15318079",0.44
"CMP1","LSM-5319","Roxithromycin",0.44
"CMP1","LSM-44988","CID 118796988",0.44
"CMP1","LSM-14042","BRD-K91359405",0.44
"CMP1","LSM-45095","Roxithromycin",0.44
"CMP1","LSM-10886","BRD-K40263565",0.44
"CMP1","LSM-45999","Roxithromycin",0.44
"CMP1","LSM-28776","BRD-K46195730",0.44
"CMP1","LSM-29001","BRD-K18296708",0.44
"CMP1","LSM-11092","BRD-K43650237",0.44
"CMP1","LSM-13614","BRD-K84856528",0.44
"CMP1","LSM-14494","BRD-K98834499",0.44
"CMP1","LSM-14176","BRD-K93691156",0.44
"CMP1","LSM-13092","BRD-K76269493",0.44
"CMP1","LSM-28905","BRD-K81949875",0.44
"CMP1","LSM-28950","BRD-K38574421",0.44
"CMP1","LSM-28818","BRD-K50133846",0.44
"CMP1","LSM-28984","BRD-K77713205",0.44
"CMP1","LSM-28737","BRD-K20951097",0.44
"CMP1","LSM-39347","BRD-K37728465",0.439
"CMP1","LSM-1717","PRESTWICK0_001107",0.439
"CMP1","LSM-5228","NCGC00016955-01",0.439
"CMP1","LSM-1768","AC1NSZMI",0.439
"CMP1","LSM-5950","Ramipril",0.439
"CMP1","LSM-2214","Lasalocid",0.438
"CMP1","LSM-6037","SPBIO_002239",0.438
"CMP1","LSM-43176","Mupirocin",0.438
"CMP1","LSM-1767","SPECTRUM_000011",0.438
"CMP1","LSM-2405","Digoxigenin",0.436
"CMP1","LSM-6480","SCHEMBL12841138",0.436
"CMP1","LSM-5656","BRD-K55113501-001-01-2",0.436
"CMP1","LSM-39673","BRD-K43637338",0.435
"CMP1","LSM-1634","Napelline",0.435
"CMP1","LSM-6375","PRESTWICK0_000690",0.435
"CMP1","LSM-21762","BRD-K20862478-001-01-5",0.434
"CMP1","LSM-21812","BRD-K89182571-001-01-2",0.434
"CMP1","LSM-21849","BRD-K62174937-001-01-9",0.434
"CMP1","LSM-8504","BRD-K01202062",0.434
"CMP1","LSM-8567","BRD-K02189204",0.434
"CMP1","LSM-13943","BRD-K89491100",0.434
"CMP1","LSM-21742","BRD-K06833081-001-01-3",0.434
"CMP1","LSM-21756","BRD-K50343904-001-01-3",0.434
"CMP1","LSM-21757","BRD-K05410443-001-01-4",0.434
"CMP1","LSM-21826","BRD-K23220352-001-01-4",0.434
"CMP1","LSM-23241","BRD-K26125024-001-01-0",0.434
"CMP1","LSM-21885","BRD-K09434085-001-01-3",0.434
"CMP1","LSM-11048","BRD-K43108514",0.434
"CMP1","LSM-11110","BRD-K43939579",0.434
"CMP1","LSM-9906","BRD-K24390300",0.434
"CMP1","LSM-9534","BRD-K18383512",0.434
"CMP1","LSM-10468","BRD-K33635485",0.434
"CMP1","LSM-14233","BRD-K94708051",0.434
"CMP1","LSM-28835","BRD-K91469267",0.434
"CMP1","LSM-28771","BRD-K32423836",0.434
"CMP1","LSM-28970","BRD-K70683012",0.434
"CMP1","LSM-29011","BRD-K08113936",0.434
"CMP1","LSM-12638","BRD-K68921379",0.434
"CMP1","LSM-14247","BRD-K94889220",0.434
"CMP1","LSM-13476","BRD-K82644788",0.434
"CMP1","LSM-28881","BRD-K25646425",0.434
"CMP1","LSM-28939","BRD-K20737562",0.434
"CMP1","LSM-9232","BRD-K13418716",0.434
"CMP1","LSM-29003","BRD-K90325960",0.434
"CMP1","LSM-29037","BRD-K53326976",0.434
"CMP1","LSM-1701","SPECTRUM_000894",0.433
"CMP1","LSM-6391","SPECTRUM_001172",0.433
"CMP1","LSM-5960","Dehydrocholic acid",0.433
"CMP1","LSM-5268","AC1OF35N",0.433
"CMP1","LSM-44563","MLS000863584",0.432
"CMP1","LSM-13071","BRD-K75906982",0.432
"CMP1","LSM-13260","BRD-K79106006",0.432
"CMP1","LSM-14469","BRD-K98320434",0.431
