Gene.symbol,logFC,P.Value
,-0.706869631,2.45506965997876e-10
SMCR8,0.31198031,2.93377286153894e-09
PHF1,0.456708702,3.08016470486185e-09
,-0.438184786,9.07373314493385e-09
,-0.666911024,1.23352624082017e-08
CERS5,0.50181081,1.31380871497077e-08
,-0.578969238,2.80827218517085e-08
INO80D,0.285259964,3.66664254317556e-08
,-0.39022644,4.51422193132324e-08
TMEM199///TMEM199,0.31926069,5.78920131711233e-08
PRR3,0.3051895,7.30408225856543e-08
,-0.359411917,7.66972071247707e-08
NFE2L1,0.41021419,8.32421762240863e-08
,-0.613933298,8.33605799352261e-08
,-0.445016048,8.40595420161765e-08
CYTH2,0.389953155,9.7057392563192e-08
RGP1,0.27048325,1.0785264439221e-07
RRNAD1,0.261930488,1.13901467735596e-07
,-0.345713524,1.14789398720506e-07
LMAN2,0.366842262,1.26078370176538e-07
ZDHHC5,0.292877643,1.2918816423157e-07
GGA1,0.253103476,1.51806057262776e-07
,-0.660108726,1.70133509995829e-07
FBXL12,0.344614226,1.70167253521405e-07
,-0.470675274,2.09212682806963e-07
,-0.636116857,2.11828403810443e-07
PHKG2,0.304213202,2.12375662456378e-07
,-0.65511919,2.18904754742947e-07
,-0.485381,2.52721199603537e-07
FBXO42,0.35873931,2.63107532122534e-07
COPS7A,0.356068524,2.86633296513125e-07
PHF19,0.376005393,3.87630027032814e-07
,-0.531697714,3.95545402337457e-07
ADRM1,0.30283719,4.01637408561019e-07
SAP30BP,0.278817726,4.02775279947752e-07
TNXB///ATF6B,0.289626238,4.10510774285545e-07
,-0.607222488,4.27425544510111e-07
,-0.541904964,4.2888418731585e-07
,-0.44191225,4.29662334181633e-07
,-0.440048857,4.34029184247038e-07
,-0.666842917,4.35414523832556e-07
,-0.872040107,4.37250747802418e-07
MALAT1,-0.567130321,4.917796657314e-07
TNXB///ATF6B,0.2920965,5.71000833469253e-07
SGK494///SPAG5,0.314045762,5.71337489195347e-07
SZT2,0.30443906,5.74314090653522e-07
PRKCSH,0.35244,5.88329408699406e-07
,-0.391789524,6.04784212049721e-07
DHRS1,0.45001169,6.06936028305313e-07
LMAN2L,0.397022583,6.47763843071278e-07
,-0.463666393,6.55053823017924e-07
,-0.443705167,6.60048663622646e-07
,-0.45196225,6.73939732803763e-07
ATXN7L1,0.545405202,7.22664191582355e-07
XRCC1,0.293271071,7.22792978995734e-07
CSNK1G2,0.28480881,7.40355093897846e-07
,-0.617362857,7.72158845740926e-07
,-0.372487238,7.84002609246684e-07
,-0.528505821,7.98272826209734e-07
,-0.430524167,8.16064001855608e-07
ATXN7L1,0.421503631,8.17349763685273e-07
,-0.352559821,8.66038410438395e-07
F8A3///F8A2///F8A1,0.253450119,9.05785826271697e-07
USP30,0.34621669,9.45022919974496e-07
