Gene.symbol,logFC,P.Value
TAGAP,0.281688571,1.22794035862363e-05
RNF20,0.215108321,0.000121552
PECAM1,0.232055357,0.000223512
HIST1H2BL,-0.2468475,0.000230148
CERS4,-0.316002429,0.000325918
PAPOLG,0.183376143,0.000402776
LY75-CD302///LY75,0.410221107,0.000464544
FCGR3A,0.290568143,0.000524221
IK,0.160404607,0.000531176
,-0.30735575,0.000581028
FPR2,0.414274,0.000586871
ACP5,-0.479899036,0.000588754
RABEPK,0.224180607,0.00064036
LOXHD1,-0.456759679,0.000649385
MMGT1,0.230634429,0.000677007
CTCF,0.207017964,0.000713134
SPRY1,-0.179319143,0.000881276
WDR82,0.256757321,0.000904697
KMT2E,0.150822143,0.000920172
AP1G1,0.1640475,0.000944833
ZNF804A,-0.202300893,0.0009717
FCGR3B///FCGR3A,0.188926429,0.00099071
CCS,-0.163286071,0.001004717
B4GALT3,-0.421847786,0.001032767
GPR155,0.305891964,0.001055887
,-0.194179321,0.00107908
WDR82,0.254412536,0.001123391
FOXM1,-0.190250821,0.001211522
IL7R,0.688855429,0.00121621
TRERF1,0.356235679,0.001283315
DESI1,-0.217291786,0.001373134
JAML,0.195640357,0.001390271
ELOVL5,0.176084286,0.001393725
,0.17627075,0.001402753
PPTC7,0.222904643,0.001412627
ADNP2,0.240716143,0.001481856
CNOT1,0.189657143,0.001500497
,-0.407069393,0.001504239
,-0.157190036,0.001597877
LPCAT3,0.252896429,0.001635767
CDK1,-0.20711525,0.001697275
RIPK1,0.234567107,0.001724737
STK11,-0.307564821,0.001773743
ANKRD18DP,-0.164714107,0.001849954
DNAJC4,-0.184928321,0.001859662
GK3P///GK,0.306378929,0.001903178
,-0.139107821,0.001955447
PAPSS1,0.397307143,0.002000171
CAMTA1,0.162410929,0.00217682
,0.482499464,0.002266393
,-0.271541714,0.002281285
,-0.155144929,0.002324229
,-0.155144929,0.002324229
TPR,0.277047607,0.002333895
SAXO2,-0.436397679,0.002355565
MAFG,-0.247447929,0.00255344
TPST2,-0.227163964,0.002570569
,0.283313429,0.002577686
FLVCR1-AS1,0.285996571,0.002649966
KDM5A,0.193460929,0.002712019
CDKN2B,-0.2549785,0.002737756
KCNIP2,-0.203421929,0.002790624
IRF1,0.225106786,0.002828796
SPATA13,0.16586325,0.002877015
CHI3L1,0.714055857,0.002972778
E2F4,-0.209193679,0.00300358
ALDOC,0.244198964,0.003006765
SLC26A6,-0.1907775,0.003025864
,-0.130892679,0.003039975
WDR35,0.230952393,0.00307799
,-0.257425964,0.003079818
NOL4L,0.181952036,0.003142957
RASGRF2,0.486466679,0.003180111
STAT5A,0.240374321,0.003378158
MAP3K1,0.172035,0.003457585
SLC27A2,-0.254302321,0.003612112
,-0.301695393,0.003623636
GLE1,0.161770857,0.003647718
ANK3,0.487354929,0.003710953
SLC2A5,-0.223857536,0.003727603
LOC642980,0.1873455,0.003732423
NEO1,0.270487179,0.003762831
ARHGAP25,0.175449286,0.003809542
TRERF1,0.269334571,0.003902632
RBM22,0.162940321,0.003906007
CCNT1,0.195756964,0.003918707
TMEM135///CCDC174,0.1572415,0.003955038
CD5,0.609818071,0.003978962
CCNB2,-0.343621214,0.004001022
SNX22,-0.241869714,0.004001413
VWA5A,-0.229699214,0.004058542
IGSF6,0.124472857,0.004096676
FSTL3,-0.166901893,0.00410225
NTAN1,-0.355354,0.004122682
REST,0.160003964,0.004127001
RFXANK,-0.161573857,0.004149092
,-0.150139964,0.004187741
,-0.154124464,0.004196061
RILPL1,0.280787929,0.004198402
ZNF487,0.339244893,0.004272288
SOD2,0.237826071,0.004418013
DCK,-0.220953714,0.004442785
AZU1,-0.242622536,0.004455253
CRIP3///CRIP3,-0.211586214,0.004468376
SLC2A1,-0.422217214,0.004605914
EPHA4,0.343606,0.004688734
SEC24C,0.171415857,0.004707904
PCDH9,-0.2409295,0.004717932
SNX29P1///SNX29P2///SNX29,-0.27736625,0.004742616
,-0.378273929,0.004762274
JMJD1C,0.211277143,0.004791487
MARCH3,-0.467606321,0.004811915
PUM2,0.134236071,0.004825031
,-0.314179893,0.00483256
SERINC2,-0.335753821,0.004847273
,-0.304883357,0.004902168
,-0.147186,0.00491521
ZNF135,-0.146873214,0.004997783
CCDC124,-0.234731321,0.005090574
CRISP3,-0.973937679,0.005151321
CARS,0.155416679,0.005182566
,-0.24817375,0.005212065
,-0.29750575,0.005248076
,-0.208891393,0.005312231
GK3P///GK,0.277664286,0.005323731
YTHDC1,0.183167571,0.005333913
ARFGAP3,0.197957571,0.005347881
,-0.361475857,0.005377445
DAP,-0.302301929,0.005401424
MAFG,-0.309891,0.005415021
,-0.335899893,0.005517196
SEL1L,0.198243393,0.005522463
MAN2A2,-0.30230475,0.005525206
PPP6C,0.132463214,0.005642114
GPS2,-0.134281571,0.005676619
SLC10A3,-0.173749143,0.005690275
FAM30A,-0.241254071,0.005696735
LAMTOR1,-0.153703929,0.005728531
BTBD3,-0.228560893,0.005755638
TMEM67,0.187062357,0.00583771
CFAP20,0.255154321,0.005881355
PPP2R3B,-0.183993357,0.005933097
FAM129C,-0.368810321,0.005959861
SERINC5,0.33478975,0.005980141
RBM27,0.173604571,0.006033353
FNDC3B,0.214771786,0.006045794
LPAR5,-0.187331214,0.006248254
,-0.188189357,0.006281592
KCNH3,-0.24772325,0.006326438
GCNT1,-0.215778071,0.006396605
,0.158359179,0.006435038
,-0.286056464,0.006539873
CCSER1,-0.315681214,0.006643414
NR5A2,-0.255410714,0.006693719
RLIM,0.229633857,0.006819539
SNX29P1///SNX29P2///SNX29,-0.33719775,0.006910059
,-0.134933857,0.006997959
MOSPD3,-0.156802214,0.007001173
SAR1A,0.154907643,0.007074133
ZNF777,-0.161971214,0.007098499
WTH3DI///RAB6C///RAB6A,-0.137551536,0.007099579
ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3///ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3,0.139540107,0.007103672
WEE1,-0.249082571,0.007130818
,-0.280026143,0.007159684
IPO8,0.235000536,0.007165043
MS4A3,-0.753269107,0.007197352
,-0.187865321,0.007217916
CHD4,0.227169071,0.007221451
,-0.158181714,0.007282256
GP5,-0.178839036,0.007285533
IL10,-0.155185714,0.007298047
,0.336420964,0.007355431
