Gene.symbol,logFC,P.Value
NPFF,0.457164655,2.81986471856387e-06
,-0.439360155,1.16522769127757e-05
SNX12,0.302601952,1.62668812439595e-05
CERKL,-0.229546262,2.11090911027979e-05
MYO15B,0.440271274,2.7243498048971e-05
SLITRK1,-0.264033762,3.98687074861332e-05
YME1L1,-0.345683024,4.03234192789689e-05
RRNAD1,0.30942506,4.06318774757708e-05
UBL3,-0.31001694,5.08872240670341e-05
P2RX5-TAX1BP3///TAX1BP3,0.594471524,6.25406242747537e-05
INF2,0.332226202,6.86672949162677e-05
PSMD6,-0.256931119,6.9997282198382e-05
,-0.242586321,7.27863743170276e-05
ANGPT2,-0.252102345,8.95047243637896e-05
BSDC1,0.333966202,9.01085818624446e-05
,-0.308797988,0.000100099
MTFR1L,0.446114512,0.000105839
,-0.371004286,0.000107253
APBB3,0.489854952,0.000112797
HNRNPK,-0.255795833,0.000127084
HSP90B3P,-0.289672238,0.000129311
CTR9,-0.364330476,0.000130844
MYO15B,0.567592286,0.000135034
CA5BP1///CA5BP1,0.503893548,0.000136303
VPS26A,-0.2971615,0.000137464
MIR516B2,-0.28884969,0.000154524
FAM21A///FAM21C,-0.283388488,0.000158615
TMEM115,0.345227452,0.000170719
FYB,-0.673392262,0.000176178
,-0.253258417,0.000183544
SLC26A3,-0.268361012,0.000186124
SPRYD3,0.360326845,0.000209236
MILR1///MILR1,0.592792,0.000215224
ATF7,0.295460012,0.000218566
GLA,0.380043095,0.000226129
PEX10,0.288241036,0.000230822
,0.244444929,0.00023474
SGK494///SPAG5,0.342275405,0.000247151
DBP,0.256626452,0.000267314
DNAJA2///DNAJA2,-0.389722131,0.000268602
ZDHHC3,0.36329019,0.000274415
RMND5B,0.313175548,0.00027801
,-0.322083738,0.000285386
MOB1A,-0.288870952,0.000293174
SIDT2,0.4529085,0.000294365
BROX,-0.286750357,0.000296237
,0.716657321,0.000306615
LSM14A,-0.253052321,0.000313046
ZDHHC5,0.262650929,0.000315217
BUD13,0.20136625,0.000317852
TIPRL,-0.326461786,0.000328552
SIAE,0.47730975,0.000328637
,-0.322572476,0.000334623
REEP4,0.416652155,0.00033619
PRY2///PRY,-0.259206202,0.00036036
PRY2///PRY,-0.259206202,0.00036036
PTPN18,0.389124619,0.000360614
IKZF4,0.24783531,0.000361322
,-0.300498202,0.000367892
TTYH3,0.467452012,0.000368488
KCTD12,0.3751735,0.000369376
,-0.377161143,0.000370768
SLC50A1,0.467961583,0.000371581
CDK2AP1,0.376505583,0.000376589
GLMP,0.591287643,0.000388876
TUSC2,0.220860679,0.000394265
MIR181B2,-0.342330631,0.000399087
SYNE3,0.293173833,0.000405238
,-0.503075405,0.000405958
ABHD16A,0.366335976,0.000411991
TRABD,0.218149702,0.000419548
MYO15B,0.316299345,0.000446725
RIPK3,0.33770769,0.000449693
,-0.523131357,0.000476605
HMGCL,0.322000333,0.000494291
LAMTOR1,0.279942083,0.000494654
DDX53,-0.33286619,0.000501195
,0.3975665,0.000501546
TEDDM1,-0.265477679,0.000502334
ABHD16A,0.355998524,0.000503045
STX5,0.269039083,0.000521204
PGAM4///PGAM1,0.373465952,0.00054538
FBXL12,0.303184976,0.000548205
,-0.311318762,0.000552658
NKIRAS2,0.362205845,0.000557916
RNF185,0.56902756,0.000563055
ARMCX6,0.592864774,0.000569296
DEK,-0.382720167,0.000583583
,-0.37924081,0.000590967
,-0.245415655,0.000600508
TPST2,0.318076976,0.000603283
,-0.220967071,0.000608219
TMEM234,0.312829607,0.000609121
PGAM4///PGAM1,0.36492056,0.000612054
SNORD49A,0.51591431,0.000620053
PGAM4///PGAM1,0.36749,0.000620806
PPP2R5E,-0.187881952,0.000627645
PRUNE1,0.443806298,0.000633204
,-0.271386905,0.000636986
TUBG2,0.382046107,0.000642443
,-0.253869488,0.000642445
CTSL3P,-0.257026036,0.000647833
ZSWIM1,0.414705988,0.000650188
,-0.234706655,0.000672748
SLITRK3,-0.264752714,0.000689462
,0.419722071,0.000717018
,0.406109964,0.000734274
,-0.239462036,0.000738604
PGAM4///PGAM1,0.348913595,0.000751482
PGAM4///PGAM1,0.348913595,0.000751482
,-0.365653476,0.000753539
TOX2,-0.25645525,0.000760168
ITCH,-0.281379976,0.000775886
,-0.465441571,0.000779676
PEAK1,0.336302452,0.00078187
SFXN3,0.322413488,0.000786846
OTOL1,-0.218825583,0.000788126
,-0.245309667,0.000793128
CCKAR,-0.246055536,0.000801557
DGCR6L,-0.240441202,0.00080958
GGA1,0.254337262,0.000830934
LOC100132147,-0.34114794,0.000834936
DDX6,-0.221449881,0.000849944
ARPC1B,0.250814881,0.000860736
,-0.398203393,0.000864394
ST3GAL3,0.357738452,0.000871756
,-0.344820619,0.000876464
LOC652276,-0.320859024,0.00089076
PEF1,0.285601917,0.00090051
SMCR8,0.259710131,0.000903548
ZNF512B,-0.211244905,0.000907577
,-0.245270119,0.000911593
FRS3,0.202235631,0.000931425
ZNF135,0.296552536,0.000943805
GPR108,0.323047655,0.000947965
HNRNPU,-0.288304024,0.000951824
MEPCE,0.217707798,0.000952472
