Gene.symbol,logFC,P.Value
SLFN5,1.149394045,2.44008174144712e-08
CAMK4,1.416205136,6.32075392206996e-08
ATP8B2,0.98120525,9.96736150066256e-08
GALT,0.701850159,1.59502103770443e-07
TRAJ17///TRAV12-2,1.285441045,1.6042366634919e-07
DKFZP779L1853,1.147677295,1.68883914115919e-07
RASGRP1,1.424955023,2.41516793827148e-07
ITK,1.675118682,2.69514988773589e-07
INPP4B,1.329339591,2.73018821208158e-07
CD4,1.142910614,2.9398519924591e-07
,-0.600376045,3.3776988780654e-07
LCK,0.944495864,3.80840519063383e-07
GATA3,0.907520705,4.02327053583474e-07
CD5,1.374115909,4.20506685123641e-07
DOCK9,1.105937364,4.33274497668086e-07
PLEK2,-1.521271545,4.57834939181235e-07
PLCG1,1.007188636,5.40996598168848e-07
CD3E,1.512185455,5.78310584376313e-07
AAK1,0.658694977,7.21946501654462e-07
SIGIRR,0.709658591,9.45961147262558e-07
LEF1,1.797270091,9.58513139783664e-07
TCF7,1.326624273,1.24256360812145e-06
PRKCQ,1.115281068,1.24950542571125e-06
CTNNAL1,-1.455952136,1.27081982538598e-06
GIMAP1-GIMAP5///GIMAP5,1.183650977,1.27618677515715e-06
FAM102A,1.127614091,1.5210050466646e-06
CD6,1.074070477,1.59709204761771e-06
NIPSNAP1,0.567958864,1.71568391032952e-06
DCAF16,0.642507864,1.87327518313896e-06
CD28,1.431046114,2.03738973209958e-06
TRIM28,0.48189125,2.14753579776757e-06
ATP1A1,0.798071545,2.1633050139967e-06
TNIK,0.74263125,2.19749957930067e-06
HEMK1,0.623992045,2.30179641452862e-06
,0.706702386,2.43497369942591e-06
CDC25B,0.962560841,2.43918677440058e-06
PRKCH,1.227357909,2.63501077195672e-06
PLXDC1,0.836821432,2.65294830724098e-06
CFAP20,0.632679932,2.77500339362129e-06
RASA3,0.653597841,2.84994589685918e-06
POC1B,-0.786201727,2.88755143698272e-06
DYRK3,-0.910695682,3.05632438067188e-06
CD27,1.324921432,3.14193460203495e-06
GNE,0.514757341,3.18437388266635e-06
TXK,1.131319977,3.41103064616085e-06
IL7R,1.517261045,3.44260593134663e-06
TTLL1,0.486887591,3.54869876625377e-06
AP3M2,0.720541955,3.71041156155417e-06
SUN1,0.687342955,3.83394355218369e-06
CDC14A,0.759735364,3.83478139752315e-06
ATXN7L1,0.615629091,3.90596851143273e-06
MTA3,0.649597932,4.13600489578237e-06
SWT1,-1.111864591,4.204862422704e-06
AAK1,0.531711864,4.28320487963428e-06
TRMT2B,0.606142932,4.30993800498938e-06
CD247,1.178564295,4.69576093627768e-06
MPI,0.680657659,4.71108909102549e-06
DPP4,1.313740091,4.7182635213324e-06
DDX24,0.686573409,4.92439037549305e-06
SEPT1,0.839987045,5.13068549536323e-06
ZBTB25,0.835137864,5.21126343764109e-06
AIDA,-0.977893773,5.29818663872032e-06
BCL11B,0.8285795,5.47645320754396e-06
IL32,1.036122614,5.6519958110422e-06
KLF12,1.136270386,5.66099228918073e-06
ICOS,1.607480773,6.25588091528975e-06
SIAH2,-1.007640727,6.26835780552771e-06
ZRANB1,-0.733779023,6.35808729493345e-06
SERINC5,0.7204595,6.79743912834562e-06
MGC40069///TRAV8-3,0.976911477,7.37217825584059e-06
IL10RA,0.663362727,7.46346789651995e-06
CRISP3,-2.149701591,7.50638176485182e-06
DNAJC6,-1.094643318,7.52188871457829e-06
ANK3,0.910605318,7.59039111200837e-06
DGKA,0.715457068,8.14299262110183e-06
OGFOD1,0.774536114,8.29229773421103e-06
RCAN3,1.176917091,8.44714145110386e-06
CA5B,0.814571023,8.5141987250474e-06
ZAP70,0.975114909,8.67057517782937e-06
SEPT9,0.562607023,8.77331384459651e-06
ESYT1,0.868432227,8.7752349605635e-06
TRBC1,0.724117432,9.04221475108706e-06
WDR26,-0.765094091,9.59347060587444e-06
SFMBT2,0.740599909,9.64324887444702e-06
RRP7BP,0.552276591,9.66312529066954e-06
ARL4A,-1.166374932,9.77031063700945e-06
USP36,0.5385385,9.78276187337412e-06
RUVBL1///RUVBL1,0.748045023,1.00866844419979e-05
CCND2,0.868938159,1.02778433145143e-05
DRG2,0.594442159,1.04038433961228e-05
ETS1,0.991138273,1.04277404343001e-05
ERVK3-1,0.495264,1.0608805914852e-05
BCS1L,0.481781432,1.11148828076396e-05
NOL9,0.775833568,1.11986267348105e-05
PNPLA2,-0.798830909,1.13811654726798e-05
PRPF6,0.539537614,1.14937243808046e-05
THEMIS,1.672013614,1.16254631714815e-05
CKAP2L,-0.599394909,1.16641594188863e-05
NUP210,0.798153886,1.1708669005599e-05
MSTO2P///MSTO1,0.558749773,1.18174603311174e-05
MARK3,-0.642352909,1.19328055325298e-05
MAF1,-1.039642182,1.19457545730417e-05
BPHL,0.552820477,1.19534710844715e-05
PATJ,1.094324545,1.21567801976236e-05
UBE2H,-0.948560318,1.21983041264224e-05
UBAP1,-0.654297364,1.22288032684889e-05
NATD1,-1.270607341,1.23867324760745e-05
TBP,0.547783364,1.24552667441401e-05
HSD17B7P2///HSD17B7,0.698073068,1.24560944951971e-05
TESPA1,1.169754636,1.2572895610106e-05
SERINC2,-0.776422477,1.26619308025865e-05
ALKBH8,0.667809545,1.29295193126431e-05
PSME4,-0.813352955,1.31746789212069e-05
,0.930568614,1.37444924482181e-05
,-0.685429727,1.39166063382068e-05
CISD2,-1.247752773,1.41141103059464e-05
ZNF827,0.544022068,1.41767765245092e-05
AP2M1,-0.781679318,1.44912385547398e-05
SPICE1,0.726137409,1.46892516407268e-05
ANXA6,0.7964825,1.4980090591552e-05
TTC39C,1.025178341,1.51205401578668e-05
YIPF6,-0.794178545,1.52139261646276e-05
,-1.281202682,1.53012213295394e-05
CARHSP1,-0.643267318,1.53960351328019e-05
SPIN3,0.553800591,1.561461995316e-05
FIS1,-0.637601318,1.5885461369395e-05
IKBKAP,0.692242432,1.64997916296557e-05
FBXO21,0.494724568,1.66878038590293e-05
COG1,0.45647,1.67314050035475e-05
ASPM,-1.12991025,1.67650777645346e-05
PAQR8,0.473498159,1.68533172563577e-05
ENTPD6,0.374546205,1.69641734116254e-05
ITFG2,0.53748975,1.69920585689413e-05
CCDC134,0.476598295,1.75127972464234e-05
PPM1A,-0.767608682,1.76388203749871e-05
PHACTR4,0.674722409,1.76934516044231e-05
FBXO32,1.004081386,1.83931225634134e-05
KIAA1147,0.92042575,1.8678446634835e-05
AMFR,-0.760769136,1.91216660877206e-05
TUBGCP5,0.565983114,1.95709163175376e-05
ANGEL1,0.460802591,1.97993479965408e-05
ENDOD1,-1.054162045,1.98076091237733e-05
SRP68,0.661998841,1.98542745925166e-05
ICK,0.686569386,1.99762937059781e-05
CBFB,0.550273114,2.00787118531835e-05
ABCF3,0.443732705,2.03379833829163e-05
ATP13A1,0.400180159,2.0982098232403e-05
TFDP1,-1.016472955,2.10936952729211e-05
FHDC1,-0.751642477,2.113383561171e-05
TMEM183B///TMEM183A,-0.642819318,2.11889497551803e-05
,0.758577432,2.14792942615662e-05
NONO,0.515262682,2.21038152024844e-05
SIRPG,0.882607932,2.21042224712181e-05
DNHD1,0.702657318,2.21338060383529e-05
AKAP1,0.646226386,2.22353028517214e-05
NOL4L,0.502299023,2.22984553006811e-05
SESN3,-1.268430591,2.23133509688483e-05
,-0.791959227,2.23834302111848e-05
AHNAK,0.853249455,2.24837725651006e-05
CD96,1.091393591,2.25909069562212e-05
PCNX2,0.632400386,2.31624638476404e-05
SFXN1,0.8590695,2.34551729758206e-05
CD3G,1.578754568,2.36944889167799e-05
CLCC1,0.749750818,2.39542019080543e-05
METTL16,0.758988818,2.4021934886577e-05
ENTPD5,-1.095253727,2.40383867466716e-05
WDR82,0.609858068,2.41061860617236e-05
ITGA2,-0.557119727,2.45376749723015e-05
SLC20A1,0.656964886,2.47856026632265e-05
HAGH,-0.933927045,2.5099748245155e-05
NOLC1,0.817672841,2.51388246628013e-05
ANKRD9,-0.840039114,2.53442584278914e-05
,-0.971840227,2.58214131282779e-05
PDIA4,0.672453409,2.62190854278573e-05
CD40LG,1.504567432,2.63171775792797e-05
EMC3,-0.969421864,2.6441846759069e-05
SPOCK2,0.967714523,2.65576230125466e-05
SCAMP3,0.465170091,2.68121855352771e-05
SFRP2,-1.571122023,2.72461868740173e-05
PYGO2,0.419852159,2.72745587781048e-05
PAAF1,0.342311545,2.73388795020909e-05
P4HTM,0.447717955,2.76161949101649e-05
EZR///ROS1,0.628328091,2.85196317284021e-05
