Gene.symbol,logFC,P.Value
ATP8B2,0.9917098,1.22621042293217e-08
SLFN5,1.061559345,4.64100604109084e-08
GALT,0.679114709,4.79436938903098e-08
LCK,0.946087764,5.83030814720638e-08
CD4,1.255698964,5.9388472400464e-08
TRAJ17///TRAV12-2,1.219943545,8.65616830833408e-08
CD5,1.353240709,8.65660633695993e-08
SIGIRR,0.725002091,1.26949115480498e-07
RASGRP1,1.352432873,1.28772019840177e-07
,-0.574375545,1.42706214013503e-07
CAMK4,1.296185836,1.5356082805395e-07
GIMAP1-GIMAP5///GIMAP5,1.200054527,1.86836301101171e-07
PLCG1,0.966157036,2.11098999043919e-07
PRKCQ,1.087962018,3.36267009531686e-07
CD6,1.061529527,3.40118006943025e-07
INPP4B,1.230512891,3.41921777717512e-07
ITK,1.547181782,3.65924264242085e-07
GATA3,0.843192655,4.26601363458607e-07
ATP1A1,0.793132345,4.32289749758278e-07
PLXDC1,0.841115782,4.59540435491899e-07
CD3E,1.413615855,4.85295437306371e-07
ATXN7L1,0.668777091,5.6046594587381e-07
AAK1,0.546956364,6.24013447893295e-07
MPI,0.692131309,7.58433785086005e-07
CRISP3,-2.251104491,1.03332448913547e-06
CD247,1.160678345,1.15699793038985e-06
FAM102A,1.055191891,1.17846519079807e-06
OGFOD1,0.804702764,1.1957969377688e-06
DCAF16,0.605326764,1.20033587634852e-06
TRMT2B,0.592814782,1.20253271674547e-06
IL10RA,0.739874727,1.26853230456536e-06
CA5B,0.838405073,1.30436017483647e-06
TCF7,1.229212073,1.30784088340321e-06
SEPT1,0.825315145,1.32825273598729e-06
ANK3,0.922211218,1.32930103934587e-06
CD28,1.344612964,1.39127063804603e-06
GNE,0.491303691,1.47364573637837e-06
ESYT1,0.882482727,1.5056537182981e-06
TRBC1,0.737211982,1.53051878160757e-06
SUN1,0.659944455,1.54567327174466e-06
RUVBL1///RUVBL1,0.768546273,1.59314321586394e-06
CDC25B,0.905642091,1.60264034881339e-06
MGC40069///TRAV8-3,0.970064327,1.65686531293101e-06
BPHL,0.597283727,1.67358022514378e-06
NOL9,0.864785818,1.82921920325558e-06
NIPSNAP1,0.525651964,1.84044188083863e-06
USP36,0.5412928,1.93058809332682e-06
ZNF827,0.572355218,2.03342760383702e-06
BCL11B,0.7980424,2.08743892515456e-06
SPIN3,0.590470291,2.19017229956199e-06
IL7R,1.427009745,2.26259188186685e-06
FBXO21,0.522219018,2.40204100332487e-06
RASA3,0.608786091,2.4565025586294e-06
TTC39C,1.054314891,2.45929394760866e-06
PHACTR4,0.717676109,2.49992069296963e-06
CDC14A,0.714767164,2.50673310911086e-06
KLF12,1.085887436,2.54931510907824e-06
SFMBT2,0.728697309,2.56536662305964e-06
TNIK,0.6846538,2.57760320798848e-06
TESPA1,1.171180036,2.64803717004986e-06
PRKCH,1.135174309,2.76407491389803e-06
ANGEL1,0.497987091,2.8179939062051e-06
LEF1,1.615020091,2.85070510209525e-06
NONO,0.542504582,3.27589491232659e-06
TBP,0.538751564,3.4218995646767e-06
DRG2,0.577502709,3.47922411150901e-06
DNHD1,0.729466418,3.50749413451181e-06
SLC20A1,0.712330236,3.54226898508464e-06
NUP210,0.778052436,3.6982989296129e-06
CCND2,0.838176709,3.91176699632245e-06
THEMIS,1.622107164,3.98611006602702e-06
PDIA4,0.700692909,4.13135988950584e-06
CD3G,1.616725418,4.17543619815935e-06
WDR26,-0.732491091,4.23638898623594e-06
SWT1,-1.028386491,4.26639104186348e-06
PAAF1,0.353401345,4.67493902883113e-06
SERPINB9,0.735428764,4.69820872784936e-06
ITFG2,0.5285812,4.79676774412666e-06
NIPAL3,0.674250982,4.83361360604077e-06
MORC2,0.618523491,5.36623324474133e-06
SRP68,0.653034891,5.39971071898911e-06
IL27RA,0.670013618,5.42343656850369e-06
LOC400464,0.554137327,5.43627644055624e-06
,0.896010964,5.49149684610959e-06
TUBGCP5,0.556790964,5.55545786793987e-06
NDRG2,0.591191582,5.61595399910435e-06
CD96,1.083445491,5.65158626811209e-06
DOCK9,0.959303764,5.76905043826468e-06
TMX2,0.479618036,5.89466571726466e-06
CD27,1.199969982,5.9599207819195e-06
CLCC1,0.744914218,5.97173932393342e-06
EXOSC10,0.652980436,6.16994066082914e-06
SEPT9,0.525992873,6.59673507109143e-06
ZRANB1,-0.677406273,6.61673739977229e-06
DYRK2,0.416434364,6.8691783420272e-06
RPN2,0.606783018,7.10135377415642e-06
ATP13A1,0.388867909,7.3767070699636e-06
ZBTB25,0.761797164,7.58840586222893e-06
NOL6,0.504689164,7.79005647836402e-06
NELL2,1.609588636,7.94836469075462e-06
FAM160B2,0.492395782,7.95542146254671e-06
TMEM256-PLSCR3///PLSCR3,0.763946127,7.99181232478728e-06
SLFN12L,1.100128055,8.0895963654061e-06
AAK1,0.571355127,8.11594548663301e-06
SIRPG,0.853781382,8.32665396628363e-06
ICOS,1.469234673,8.44364228354617e-06
RCAN3,1.086479891,8.60498938592258e-06
ZAP70,0.900921909,8.64805690418522e-06
TSTD2,0.571335655,8.75079629097402e-06
GADD45A,-0.853750436,8.75779235999256e-06
SERGEF,0.433664491,9.32671573202065e-06
,0.625672436,9.7488005495733e-06
GCN1,0.552628655,9.78130124744023e-06
KCNH3,-0.624033636,9.79373290644878e-06
COG1,0.4310826,1.00232314242746e-05
RRP7BP,0.508881891,1.0296422012116e-05
TTC39C,0.467679909,1.06053074175712e-05
,-0.756243727,1.07130024584294e-05
PRPF19,0.592534073,1.08239792188709e-05
SNORD56///NOP56,0.469995709,1.09434585388516e-05
SEMA4C,0.6285552,1.09452506023169e-05
TMEM173,0.729763255,1.09454184496624e-05
KIAA1147,0.868211,1.13693617006028e-05
CYB5B,0.696628018,1.13856521374723e-05
HEMK1,0.548826945,1.15150183049793e-05
ANXA6,0.74297,1.16477708848586e-05
METTL16,0.724303218,1.16688909582754e-05
MTR,0.585573164,1.17386391839497e-05
ELP3,0.714029218,1.21394702899816e-05
MTA3,0.578100782,1.2650062632011e-05
ENTPD6,0.350122255,1.2726258382492e-05
IL32,0.929812364,1.28046721310873e-05
ARL4C,0.902841727,1.28124310944313e-05
FTO,0.675674364,1.29250547722128e-05
MSTO2P///MSTO1,0.513903073,1.29855559908306e-05
,0.453938382,1.36372924569554e-05
CIAPIN1,0.510675491,1.37233301103469e-05
RNF157,0.808932891,1.37911906323555e-05
GTF3C2,0.451749964,1.44948705689811e-05
SERINC5,0.647318,1.45037261377882e-05
XBP1,0.876900473,1.45131849951245e-05
PPIH,0.587623164,1.46584790741507e-05
CRTC3,0.552027709,1.50777100892816e-05
NMT2,0.738145636,1.51231520574564e-05
NUP188,0.7030958,1.51541435827625e-05
PRPF31,0.376095182,1.61294569469803e-05
NOLC1,0.768908691,1.63346231904449e-05
GCNT4,1.235743836,1.6423683437937e-05
CTNNAL1,-1.249584636,1.68887828750198e-05
DDX24,0.607798509,1.6935544004008e-05
CFAP20,0.552076182,1.69420540200279e-05
ANOS1,-0.406834218,1.72776639983746e-05
BIN1,0.514440745,1.75974448319179e-05
TTLL1,0.426796291,1.77338940463944e-05
ELL2,-0.728274055,1.77357005197235e-05
CCDC88C,0.864214582,1.78425937875917e-05
ATIC,0.837205618,1.80762479005677e-05
MMAA,0.775141727,1.82194030500825e-05
SCAMP3,0.436195491,1.85873130417801e-05
PAQR8,0.434999709,1.8616445227701e-05
CCAR2,0.458938327,1.88134714755746e-05
NKAPP1,0.411663327,1.90637454621036e-05
MTA2,0.538102364,1.91403082870918e-05
FYN,0.849725091,2.01771170030779e-05
,0.701016982,2.03262373573246e-05
AES,0.703043436,2.07669321517689e-05
LAS1L,0.459753909,2.07845460049997e-05
NAT10,0.699091309,2.11526544034571e-05
INTS9,0.604744073,2.12493736967263e-05
HLA-DPA1,0.910250364,2.13850668920732e-05
ZNF512,0.725210455,2.16705068182375e-05
AMPH,-0.836561418,2.16824519060156e-05
VSIG1,1.139814491,2.18655011830601e-05
ATP10A,0.566222818,2.24551948907543e-05
HLA-DPA1,0.994121455,2.25304196393739e-05
HLA-DPA1,0.994121455,2.25304196393739e-05
EVL,0.689022527,2.29668075248796e-05
TTC31,0.454667382,2.32561038591583e-05
ATP5G2,0.429167982,2.35314992557811e-05
LPIN1,0.682340364,2.38177714763257e-05
MESDC2,0.449298273,2.39785893209125e-05
RPTOR,0.612477309,2.40595591918709e-05
DET1,0.492227109,2.41678143454958e-05
GANAB,0.576549855,2.43218690217219e-05
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1///STAG3,0.626872764,2.4454152021489e-05
AHNAK,0.781882655,2.56164020768652e-05
ABHD14A,0.552408309,2.63388959081222e-05
PPP1R3E///HOMEZ,0.389584855,2.6482261634158e-05
HEATR1,0.779424891,2.65006270465128e-05
DHX30,0.577754255,2.66965310937558e-05
ANKRD36///ANKRD36B,0.891194382,2.67180956790623e-05
HLA-DPB1,0.752987273,2.71964820773132e-05
STT3A,0.6051342,2.75861181395007e-05
OSBP,0.368791891,2.76226987218562e-05
MAP3K12,0.452738382,2.76790585337032e-05
TMEM181,0.661433945,2.78031218753611e-05
EDC4,0.445054273,2.81663041451528e-05
MTURN,-0.700898218,2.8194724041051e-05
POLH,0.603114964,2.83219567574731e-05
THEM4,0.6865144,2.84211448248523e-05
DDX56,0.501103473,2.84431301194276e-05
WDR33,0.4770288,2.84576431205063e-05
CSF1R,0.750017309,2.86684795290678e-05
ITGA2,-0.509722127,2.8894362733626e-05
RASGRF2,0.8974826,2.90931544236188e-05
DKFZP779L1853,0.940776745,2.94328663624815e-05
EIF2B1,0.633267618,2.9552061874642e-05
PAPD7,0.4514712,2.9618480646652e-05
DDOST,0.493297,2.98840715120976e-05
PSMC5,0.502519655,3.03382461358848e-05
LETMD1,0.448071709,3.04694959172886e-05
AKAP1,0.587084636,3.09639894423333e-05
NUP205,0.629138618,3.12719568718283e-05
PHC1,0.518236073,3.13952556137218e-05
SLC9B2,0.572910055,3.14215639719446e-05
NF2,0.438319273,3.16942172536627e-05
TOE1,0.437233073,3.19470402987812e-05
MTA1,0.488086945,3.22210452107285e-05
RAD54L2,0.486202291,3.24785634613993e-05
MGC57346,0.804229891,3.29617641090074e-05
IKBKAP,0.619780182,3.37480765460288e-05
CDK10,0.402598309,3.38069211223705e-05
DENND2D,0.778540964,3.39051593859607e-05
DDX19A,0.445447873,3.44325913705585e-05
DHX35,0.456605891,3.45170266019393e-05
CAMP,-0.735138564,3.47233887566162e-05
PDE4DIP,0.671738618,3.50051612438893e-05
PHC1,0.512583,3.51088935620812e-05
NOL4L,0.453664673,3.56883624008651e-05
RWDD2B,0.739711636,3.60206844293487e-05
TAF3,0.360211982,3.60534233547603e-05
FUBP3,0.456381436,3.66172421313863e-05
EEF2K,0.410360636,3.67704966767082e-05
CX3CR1,1.121407764,3.70591893191704e-05
KDM8,0.422514036,3.73229738740382e-05
XPO5,0.621831545,3.78053690634921e-05
PATJ,0.965602145,3.78275673533846e-05
NDUFV1,0.450193909,3.79256924555432e-05
HAPLN3,0.685694764,3.80181716361414e-05
,0.860242691,3.80567895302994e-05
,-0.607271127,3.80999440929931e-05
SMAD3,0.752679673,3.82225601512318e-05
ZNF263,0.465555055,3.82767492981908e-05
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1,0.615864727,3.85526909582039e-05
TXK,0.965304327,3.86353309960802e-05
MMP8,-2.349507545,3.89994936843091e-05
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1,0.610389291,3.94326295248468e-05
ZBTB39,0.430071273,3.9823201579596e-05
SNRPA,0.686136036,4.01280167508882e-05
MARK3,-0.565180909,4.02862468982454e-05
MSTO2P///MSTO1,0.451794018,4.030428636539e-05
C1orf174,0.460474,4.14662258749235e-05
PPIL2,0.444695964,4.16945459716463e-05
JMY,0.750164564,4.17163886297654e-05
KMT2A,0.618962309,4.17988062542038e-05
IL2RA,0.530078873,4.19419999249579e-05
G3BP1,0.600775509,4.22212905132549e-05
GDE1,-0.650153236,4.26496051256667e-05
VPS33B,0.382534273,4.28117766143464e-05
KIAA1549///BRAF///BRAF,-0.291088,4.30101976454225e-05
STAT4,1.131368727,4.33060742790617e-05
NOP2,0.429405745,4.34571485229552e-05
TCTN3,0.769170545,4.36772046028711e-05
COQ10A,0.568113018,4.5081733901327e-05
SGF29,0.609542091,4.54298883551034e-05
KCNA3,0.884002,4.58384037379245e-05
GPRASP1,0.607257218,4.62234083945897e-05
TP53,0.758015018,4.65652804126441e-05
CCDC134,0.421992145,4.68966382860663e-05
PDPR,0.959613836,4.72615111420084e-05
UBE2H,-0.829759818,4.75604001105377e-05
SYNJ2BP-COX16///SYNJ2BP,0.678719691,4.79138214074008e-05
ILF3,0.572801055,4.8040682156977e-05
TIMM10B,0.639290855,4.8287936300283e-05
TMCO4,0.346697836,4.83166399328395e-05
DPP4,1.120369891,4.85341505208502e-05
GALNT12,0.528751255,4.86474169101594e-05
AIFM1,0.5435784,4.89762097916576e-05
NCBP2,0.607735873,4.95674825857828e-05
MLXIP,-0.522278727,4.97666116683782e-05
C1orf105,-0.380691327,4.98477702010055e-05
LCMT1,0.439313764,4.9869325842277e-05
CBFB,0.487821964,5.07976760858275e-05
CLSTN1,0.472797873,5.09149695076561e-05
URGCP-MRPS24///URGCP,0.444161891,5.13878434338064e-05
ELAC2,0.693823,5.15075699856486e-05
C14orf1,0.716015964,5.16591738348865e-05
SUN2,0.480918036,5.16832275549977e-05
NFX1,0.546340945,5.17734455705048e-05
CLEC4F,0.478548182,5.17906828897238e-05
NAXE///NAXE,0.705692473,5.22131489223064e-05
NUMA1,0.408411527,5.2537929873117e-05
MED24,0.374506109,5.28949549116259e-05
MDN1,0.4460642,5.31877599376022e-05
GLTSCR2,0.629182873,5.38678462882597e-05
C6orf136,0.357567509,5.3903556862906e-05
