Gene.symbol,logFC,P.Value
PNP,2.5971855,3.47615087918858e-06
RAD23A,1.9971015,5.31970640869397e-06
HBG2///HBG1,2.6429795,8.6339306016581e-06
HBG2///HBG1,2.6429795,8.6339306016581e-06
BBOF1,2.0756245,8.95525919142799e-06
GPR146,1.821164,9.22717361811824e-06
MARCH2,1.694491,1.4715439692704e-05
LRRFIP1,-1.65260525,1.51699391913531e-05
C9orf78,2.054217,1.75369852302565e-05
MYL4,1.738949,1.79434777931974e-05
GYPB,1.657834,1.83462358432766e-05
,2.16598325,2.55993457054144e-05
,2.16598325,2.55993457054144e-05
TMOD1,1.74979,2.67792952229286e-05
GMPR,1.50896,2.96006211373133e-05
EPB42,1.523135,3.46559799074652e-05
ALS2CR12,1.5812295,3.5925762184678e-05
MDM1,-1.51689225,3.87223597262868e-05
,-1.49468575,4.51440014926178e-05
GYPA,1.9441015,4.59947902199633e-05
COPZ1,1.45449125,4.63977440500001e-05
,-1.65536025,4.90320039850565e-05
PHLPP2,1.709254,5.11851580211218e-05
BPGM,1.4379375,5.19069182803065e-05
SELENBP1,1.50926,5.24297785642914e-05
JAZF1,1.6365545,5.56077661785192e-05
DPM2,1.353199,5.63835306556037e-05
ASCC2,1.4718725,5.65935902500996e-05
ST6GALNAC4,1.6944965,6.1884078624792e-05
ST6GALNAC4,1.7024515,6.28305258600829e-05
CISD2,1.5055015,6.33822991559018e-05
POLE2,2.3600075,6.79830695551534e-05
EMC3,1.4160325,7.12841703782887e-05
MIR29B1,-2.410344,7.16392034332684e-05
RHBDD1,1.3218385,7.98123005590679e-05
ST6GALNAC4,1.681146,8.03856920970481e-05
IGF1R,-1.84610125,8.11995293403643e-05
MFSD2B,1.799112,8.74077420908054e-05
HMBS,1.725123,8.76987402398186e-05
TFRC,1.55071,8.85752750310788e-05
MINPP1,1.512291,9.27789097743756e-05
ZNF682,-1.68914075,9.31805981748992e-05
HNRNPH3,-1.3002705,9.34427997189507e-05
,1.544435,9.50938410474158e-05
,-1.56669775,0.000106473
LXN,-1.62357525,0.000109536
CDH1,1.56075025,0.000110862
RAB1A,-1.233758,0.000111148
NFIA,1.701551,0.000115445
SMOX,1.6167535,0.000117639
ENTPD5,1.709274,0.000120487
FOXO4,1.3147475,0.00012681
CAPNS1,1.337285,0.000127359
SHARPIN,1.3665295,0.000128009
VTI1B,1.469623,0.00013361
AP2M1,1.3149945,0.00014181
PBX1,1.8161885,0.000149872
JPX,-1.5119305,0.000157796
EFHC1,-1.828404,0.000158099
SOX6,1.49269875,0.000159177
ORM1,-2.21716175,0.000159497
PRDX6,1.21384,0.000159903
KEL,1.933149,0.00016058
GAS7,-1.29064575,0.000161086
KPNB1,-1.1377775,0.000173899
,1.409965,0.000186981
ARID5A,-1.167827,0.000189956
CFAP58,-1.36585175,0.000193439
IRF2BPL,-1.414222,0.000205063
PLEK2,1.625815,0.00020658
,1.318858,0.000209673
,2.164777,0.000212611
CA2,1.921957,0.000221458
SCARNA12,-1.379545,0.000224783
MPP1,1.14031,0.000227077
MARCH3,1.280282,0.000227168
,1.0851205,0.000235106
,-1.1946885,0.000252984
,-1.75879875,0.000264502
ALYREF,1.21801975,0.000266135
PSMB6,1.41774025,0.000275288
