Gene.symbol,logFC,P.Value
,0.486781794,1.6534532957453e-05
CERS4,-0.320098982,0.000252919
RILPL1,0.3952921,0.000600787
TAGAP,0.251807706,0.000820954
TCHP,-0.204212753,0.000924301
,0.247460176,0.001680445
JUN,-0.235500329,0.002348895
MORN4,0.192523665,0.002636165
GEMIN7,-0.185075106,0.002701804
LY75-CD302///LY75,0.416753229,0.002866678
,-0.275274865,0.003026909
OR6Q1,0.232680518,0.00305673
DNAJB6,0.193443653,0.003356391
,0.171752218,0.003716373
RP9,-0.275303929,0.003848796
,-0.3299494,0.004361475
FKBP7,-0.149306235,0.004696899
MMAB,-0.1530151,0.004706667
FAM27B///FAM27C,0.329473365,0.004739595
PSD3,0.229990259,0.004874473
ZNF135,-0.188253465,0.005420756
RBM23,0.277194059,0.005532998
,-0.162162588,0.005853292
GK3P///GK,0.350526412,0.005873048
ZNF804A,-0.1933306,0.005973047
MLIP,0.172715647,0.006035648
FAM27E2///FAM27E3,0.380082888,0.006075944
HIPK3,0.268125176,0.006104494
UBR2,0.259395882,0.006309781
FAM126B,0.539667812,0.006404775
C9orf57,0.1513391,0.006448826
EPG5,0.200769794,0.006513066
,-0.217224141,0.006592804
TSPYL5,0.255634929,0.006800753
MGST1,-0.455287788,0.006872423
,0.267694371,0.006897947
IK,0.145331612,0.006954205
,0.189621447,0.006974093
SAXO2,-0.515265224,0.007128443
HIST1H4I,-0.186071635,0.007187529
RNF20,0.187833535,0.007228711
PRDM5,0.398797735,0.007310887
PEX6,-0.171777088,0.007354774
CLEC12B,0.749719053,0.007565374
,0.208922365,0.007818259
FAM27E2///FAM27E3,0.391191965,0.007905302
,-0.372269441,0.008073081
SLK,0.320694453,0.008105107
DPYD,0.212936235,0.008152662
LPCAT3,0.257661824,0.008261863
PAPSS1,0.341526747,0.008643932
ADGRL4,0.159812024,0.008738409
GCG,0.176029512,0.008790887
CRIP3///CRIP3,-0.255518653,0.008867576
STX11,0.310979176,0.008882525
,-0.282302129,0.008909124
BATF,-0.170042012,0.008979665
,0.176629759,0.009109117
IL1RAP,0.554749088,0.00921527
KCTD11,-0.131863976,0.00941272
CLEC12A,0.614298435,0.009610517
,-0.336499606,0.009689198
FOLR3,-0.936564971,0.0097577
FCGR3B///FCGR3A,0.208379118,0.009778404
,-0.348774506,0.009803168
,-0.376256076,0.009828704
LINC00268,-0.384028412,0.009846373
LINC00268,-0.384028412,0.009846373
ZNF221,-0.258782147,0.010018712
,0.133952235,0.010038367
GK3P///GK,0.333965706,0.010080734
CDK1,-0.226060653,0.010090761
ZNF154,-0.411272306,0.010091475
,0.168474812,0.010271063
,0.343359035,0.010345369
FCGR3A,0.268785888,0.010389764
,0.1740651,0.010610897
PRH2,-0.1659829,0.010720326
RND3,0.145909676,0.011363982
,0.163741859,0.011397591
SNORA5A,-0.373447035,0.011632735
WAPL,0.172144906,0.011773807
JMJD1C,0.260153647,0.011913759
,0.2134776,0.011987994
PCDHB7,0.136920941,0.012045891
LOC400590,-0.420347671,0.012147867
FAM27E2///FAM27E3,0.369530876,0.012287831
FAM27B///FAM27C,0.292108376,0.012312156
GLDC,0.257179235,0.012422762
TBC1D30,0.299603135,0.012600907
TSPAN32,-0.299760112,0.0128114
BRWD3,0.276021641,0.012892358
LPAR5,-0.215657176,0.012996436
OR2K2,0.184677912,0.013023856
,0.202414035,0.013157037
RPS6KA5,0.350085229,0.013171104
SCN3A,-0.332563506,0.013507957
,-0.295010371,0.013567159
WDR35,0.238026382,0.013591628
AFG3L1P,-0.123402047,0.01378326
,0.154858912,0.014116932
HPN-AS1,0.156628265,0.014247963
,0.351108194,0.014423992
ZYG11B,0.225764288,0.014424324
KCNJ15,0.577378694,0.014734998
,-0.155502429,0.014846691
FNDC3B,0.2456245,0.014884225
OR4N5,0.196180747,0.014894854
DNAJB6,0.208853153,0.014986088
,-0.252161182,0.015114838
RABEPK,0.206261947,0.015222386
VWA5A,-0.203513035,0.015451222
,-0.250674182,0.015505968
,-0.250674182,0.015505968
,-0.137254453,0.015511462
TEDDM1,0.167507,0.015645333
LINC00158,0.112005488,0.015662691
TNFSF8,-0.248090941,0.01573
USP34,0.156411218,0.015746245
HIST1H2BH///HIST1H2BH,-0.275431759,0.016031961
RAD9B,0.143741288,0.016074373
DHX40,0.206388812,0.016344928
IZUMO1,0.1800366,0.016534354
FAM27B///FAM27C,0.269389088,0.016546467
,-0.710822235,0.016717108
,0.188596753,0.016721976
,0.163644553,0.016798605
AFF1,0.221154882,0.016819181
FPR2,0.396254629,0.016889758
,-0.166794047,0.016962739
PPP2R3A,0.132824529,0.017110193
,0.158475294,0.017248231
VWDE,0.239856141,0.017575405
CHI3L1,0.7418686,0.017646904
UBE2D3,0.135212229,0.017757133
,-0.266242682,0.01779115
,0.263119265,0.017841995
KCNIP2,-0.223346035,0.017879689
,0.112196024,0.01796586
,0.134481582,0.017995037
SCG3,0.132543553,0.018126969
CSTB,-0.129415294,0.018149364
SPON1,0.155977941,0.018247472
,0.161327753,0.018279333
,0.193667935,0.018372109
FAM129C,-0.388275894,0.018386735
SYT14P1,0.150094859,0.01842874
OR10K2,0.132869559,0.018591981
NSFL1C,0.231670306,0.018606967
JAML,0.166248353,0.018639359
GNAQ,0.254292706,0.018799037
MYO15B,-0.213859741,0.018840502
APOL5,0.158247006,0.01887385
SLC30A1,-0.169359124,0.018934388
,0.317651424,0.019027476
IGF1R,0.413095953,0.019135096
TGM3,0.293860759,0.019150512
PRSS3P2///PRSS2///PRSS3P2///PRSS2,0.159830306,0.019315133
,0.206803665,0.01932416
OR13C5,0.182782076,0.019647251
MIR154,0.104102135,0.019702024
PAPOLG,0.158122859,0.019721013
,0.165799765,0.019843495
DTX4,-0.213181971,0.019865713
RBM47,0.361442824,0.01994391
OR2A25,0.182018576,0.020011856
GSTTP2///GSTTP1,-0.167812382,0.020109946
HIST1H2BL,-0.188194853,0.020155622
RPL26L1,0.157748476,0.020387118
TPR,0.255066176,0.020436013
AMD1,0.176619471,0.020690495
FLVCR1-AS1,0.2716431,0.020731561
FGF14,0.157619718,0.021057683
,0.160607571,0.021158734
DHCR24,-0.305107312,0.021271891
AGTR2,0.121381106,0.021391003
ELOVL5,0.158119824,0.021477037
PIPSL,0.142217935,0.021591312
ARMC2,0.268051729,0.021716937
,-0.183351988,0.021754399
PRSS3P2,0.157143306,0.021928728
NLK,-0.164197141,0.021931776
,-0.167380629,0.021953851
CADM2,0.206622824,0.022229231
ACP5,-0.335959047,0.02227256
,-0.310496688,0.022346838
AP1G1,0.130190824,0.022455732
,0.114447859,0.022489361
KDM5A,0.161009941,0.023000505
HS6ST1,-0.130226994,0.023238038
