Gene.symbol,logFC,P.Value
,-0.762382083,3.49503156296619e-10
FBXL12,0.372320389,6.16453301860089e-10
,-0.490732639,8.00349357050543e-09
SMCR8,0.320065639,2.19347586883317e-08
,-0.380245833,2.84542746705133e-08
,-0.995265028,5.66651431984547e-08
,-1.301472306,6.17360614211543e-08
,-0.703608556,6.33754330539263e-08
,-0.561348111,7.50488293534651e-08
,-0.384106861,7.88591005378455e-08
INO80D,0.312105,8.17179863902263e-08
,-0.451413028,8.95330407739805e-08
,-1.194546639,9.7763038341662e-08
,-0.827111806,1.0451412918823e-07
TMEM199///TMEM199,0.329187972,1.14631054849078e-07
,-0.605485361,1.22074377147182e-07
PHF1,0.458710028,1.23969493417812e-07
MALAT1,-0.6241945,1.24340008598445e-07
,-0.454278278,1.32229657724432e-07
,-0.535149056,1.55270109189695e-07
,-0.476971833,1.6192310829617e-07
RRNAD1,0.278449139,1.63737084560898e-07
,-0.55793,1.75671055237366e-07
DHRS1,0.4854345,1.85172364461519e-07
,-0.711773833,1.97152676176854e-07
,-0.487765778,2.14494405707517e-07
PARP6,0.443662972,2.24464164443598e-07
,-0.506962111,2.37955840429761e-07
PHF19,0.402309417,2.42550463682072e-07
,-0.664818639,2.49173095896446e-07
,-0.529110861,2.55232310309857e-07
CERS5,0.489086556,2.64074001363873e-07
,-0.670473556,2.67616405189207e-07
,-0.76527875,2.68127244600355e-07
,-0.510433472,3.23374311522006e-07
,-0.373933528,3.51769949977496e-07
SAP30BP,0.288149722,3.53717092665183e-07
,-0.624311278,4.10366207719268e-07
,-0.390049167,4.11139832055901e-07
,-0.697472972,4.30077966952437e-07
LMAN2,0.37898,4.31258597201043e-07
,-0.667978611,4.34482614323388e-07
MRPL49,0.634984417,4.44164521111852e-07
,-0.700192667,4.55334271255796e-07
,-0.754576417,5.38213184477086e-07
,-0.598328167,7.08554805764896e-07
,-0.293534278,7.78116689413667e-07
ZDHHC5,0.305327111,7.82979808078014e-07
,-0.988692222,8.02331816085713e-07
PRR3,0.308285722,8.94149469409292e-07
,-0.575178694,9.84064766647577e-07
BSDC1,0.307421417,9.84698811141455e-07
COPS7A,0.36035525,9.89539245380169e-07
,-0.664211944,1.01532414123672e-06
,-0.664211944,1.01532414123672e-06
