Gene.symbol,logFC,P.Value
SNORA5A,0.862907709,5.805200994017e-06
SLITRK1,-0.3206984,8.139931641627e-06
APBB3,0.595757891,8.88213864771905e-06
SNORA5C,0.393705309,1.23658069418266e-05
,-0.483997764,2.54837120150469e-05
MYO15B,0.488959345,2.81237212718608e-05
,-0.610359191,3.46537300042004e-05
,-0.347021782,3.52171185170161e-05
SNX12,0.316179273,3.89639756350903e-05
ARRDC1,0.360333045,4.20860552020651e-05
BRINP2,-0.288066136,4.25029469672237e-05
NPFF,0.464071464,4.30179100959125e-05
SGK494///SPAG5,0.431835182,4.58616195995287e-05
TOX2,-0.344404691,5.3654596456822e-05
RIPK3,0.429076055,5.48839131144227e-05
,-0.304990718,7.20684699219713e-05
,-0.3594664,7.8125081949868e-05
,-0.326876345,7.98948457704485e-05
COLGALT1,0.425542736,8.40293395499857e-05
LINC01101,-0.306808418,9.256969014359e-05
CCKAR,-0.308842027,0.000108541
IKZF4,0.279894564,0.000115375
FAM150A,-0.252669936,0.000121148
ADH4,-0.282162,0.00012202
,-0.432620473,0.000129091
CERKL,-0.239035209,0.00013211
OR9G4,-0.311511291,0.000132329
,-0.294651845,0.000134046
MILR1///MILR1,0.655546482,0.000134827
,-0.388697373,0.000160741
BSDC1,0.363435218,0.000161544
MAML2///MAML2,0.373523973,0.000163602
FDPSP2///FDPS,0.241573918,0.000173346
SYNE3,0.341134409,0.000186803
PTCHD4,-0.303458091,0.000196708
TMEM234,0.371409609,0.000207909
,-0.447032145,0.000213771
ZNF512B,-0.256751882,0.000233252
SAXO2,0.741738036,0.000239883
TRABD,0.235055273,0.000240232
LINC01105///LINC01105,-0.279488491,0.000240514
DHX40,-0.423728127,0.000242846
,-0.287114736,0.000243387
SPRYD3,0.381433955,0.000244623
MOS,-0.3444075,0.00025033
RRNAD1,0.311913591,0.000257886
RMND5B,0.351089309,0.000259599
ENPP6,-0.376531327,0.000266389
MYO15B,0.370056164,0.000294536
SULF1,-0.213489391,0.000296996
AKAP4,-0.255920482,0.000306183
SGSM3,0.303523973,0.000308763
C6orf47,0.387621836,0.000310565
MIR494,-0.290150664,0.000313296
,-0.561292318,0.000317042
,-0.331373118,0.000322274
,-0.419071891,0.000323167
LOC652276,-0.396111655,0.000332968
PEX6,0.250052773,0.000343548
,-0.272193273,0.000344478
BUD13,0.233121182,0.000347623
NAT9,0.325577327,0.000349306
DENND4B,0.385764009,0.00035131
KIAA1107,0.476187127,0.000354943
SMCR8,0.311542691,0.000357454
HMGCL,0.375677527,0.000359905
,-0.421924645,0.000362375
MROH5,-0.243395182,0.000362504
,-0.334185455,0.000363554
,-0.373351318,0.000370855
SAA2-SAA4///SAA4,-0.396707982,0.00037274
SNORD49A,0.555899891,0.000387462
KCTD13,0.301610173,0.000395218
,-0.352890318,0.000397727
SP5,-0.360982136,0.000399542
SLC39A7,0.347017873,0.000403646
SLC39A7,0.347017873,0.000403646
SLC39A7,0.347017873,0.000403646
GPR132,0.443156518,0.000409111
,-0.364061627,0.000411992
GLDC,-0.324141,0.000429185
,0.482090464,0.000431183
