Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
2jbp_v,3,2.998,0.9994,1.08865,3,0,0,0,0,0,MAP kinase-activated protein kinase 2,NONE,P49137,Involved in protein kinase activity,NONE,NONE,,,,"
"
2vwu_v,3,2.984,0.9946,1.09586,2,1,0,0,0,0,Ephrin type-B receptor 4,TRANSFERASE,EPHB4_HUMAN,Receptor for members of the ephrin-B family. Binds to ephrin-B2. May have a role in events mediating differentiation and development.,NONE,Ocular disease;Rheumatoid arthritis;Cancer,,,,"
"
1eub_v,3,2.959,0.9864,0.939206,3,0,0,0,0,0,Collagenase 3,HYDROLASE/HYDROLASE INHIBITOR,MMP13_HUMAN,Degrades collagen type I. Does not act on gelatin or casein. Could have a role in tumoral process.,Defects in MMP13 are the cause of spondyloepimetaphyseal dysplasia type 2 (SEMD2) [MIM:602111]; also known as spondyloepimetaphyseal dysplasia type Missouri. SEMDs are a heterogeneous group of skeletal disorders characterized by defective growth and modeling of the spine and long bones. The SEMDs are distinguished from the spondylometaphyseal dysplasias and the spondyloepiphyseal dysplasias by the combined involvement of the epiphyses and metaphyses. The 3 disorders have malformations of the vertebrae in common.,NONE,,,,"
"
1xn0_v,3,2.951,0.9836,1.10089,0,2,1,0,0,0,"cAMP-specific 3,5-cyclic phosphodiesterase 4B",HYDROLASE,PDE4B_HUMAN,May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents.,NONE,Chronic obstructive pulmonary disease;Asthma,,,,"
"
1f40_v,3,2.947,0.9824,0.94742,3,0,0,0,0,0,Peptidyl-prolyl cis-trans isomerase FKBP1A,ISOMERASE,FKB1A_HUMAN,"May play a role in modulation of ryanodine receptor isoform-1 (RYR-1), a component of the calcium release channel of skeletal muscle sarcoplasmic reticulum. There are four molecules of FKBP12 per skeletal muscle RYR. PPIases accelerate the folding of prot",NONE,NONE,,,,"
"
1qqs_v,3,2.929,0.9762,0.959472,2,0,0,0,1,0,Neutrophil gelatinase-associated lipocalin,SUGAR BINDING PROTEIN,NGAL_HUMAN,Transport of small lipophilic substances (Potential).,NONE,NONE,,,,"
"
2agt_v,3,2.899,0.9665,0.935197,2,1,0,0,0,0,Aldose reductase,OXIDOREDUCTASE,ALDR_HUMAN,Catalyzes the NADPH-dependent reduction of a wide variety of carbonyl-containing compounds to their corresponding alcohols with a broad range of catalytic efficiencies.,"In diabetes and galactosemia, increased AR activity leads to high levels of sorbitol and galactitol, respectively, in the cells of many tissues. Accumulation of sugar alcohols has been shown to cause osmotic cataracts in the lens. AR is also thought to play a key role in diabetic complications of three other target tissues, namely, nerve, kidney and retina.",Neuropathy;Diabetic neuropathy;Diabetic foot ulcer;Diabetic complication;Diabetic nephropathy;Retinopathy;Ocular disease;Central nervous system disease;Diabetic retinopathy;Diabetes mellitus;Diabetic cataract;Cataract,,,,"
"
2pir_v,3,2.886,0.9619,0.806023,2,1,0,0,0,0,Androgen receptor,HORMONE RECEPTOR,ANDR_HUMAN,Steroid hormone receptors are ligand-activated transcription factors that regulate eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Transcription factor activity is modulated by bound coactivator and core,"Genetic variation in AR can be responsible of androgenetic alopecia (AGA) [MIM:109200].;Defects in AR are the cause of androgen insensibility syndrome (AIS) [MIM:300068]; previously known as testicular feminization syndrome (TFM). It can be complete (CAIS) when external genitalia are phenotypically female; or partial (PAIS) when external genitalia are substantively ambiguous or mild (MAIS) when external genitalia are normal male or nearly so.;Defects in AR are the cause of X-linked spinal and bulbar muscular atrophy (SBMA) [MIM:313200]; also known as Kennedy disease. In SBMA patients the number of Gln ranges from 40 to 52. Longer expansions result in earlier onset and more severe clinical manifestations of the disease.;Defects in AR may play a role in metastatic prostate cancer. The mutated receptor stimulates prostate growth and metastases development despite of androgen ablation. This treatment can reduce primary and metastatic lesions probably by inducing apoptosis of tumor cells when they express the wild-type receptor.;Defects in AR may be the cause of infertility male syndrome [MIM:308370]; also called androgen insensitivity. It is characterized by azoospermia, elevated testosterone and luteinizing hormone plasma levels and an abnormal androgen receptor.;Defects in AR are the cause of Reifenstein syndrome [MIM:312300]; also known as partial androgen insensitivity. The features of this form of male pseudohermaphroditism are hypospadias, hypogonadism, gynecomastia, normal XY karyotype, and a pedigree pattern consistent with X-linked recessive inheritance.",Hypoactive sexual desire disorder;Hepatitis B virus infection;Cardiac failure;Andrology;Hirsutism;Female sexual dysfunction;Psoriasis;Reperfusion injury;Plasmodium infection;Atherosclerosis;Prostate hyperplasia;Fatigue;Male sexual dysfunction;Autoimmune disease;Testosterone deficiency;Uterine fibroids;Metabolic disorder;Myalgia;Obesity;Gynecological disorder;Contraception;Cancer;Hypercholesterolemia;Skin burns;Seborrhea;Growth disorder;Bone tumor;Muscular dystrophy;Erectile dysfunction;Systemic lupus erythematosus;Asthma;Wound healing;Cerebrovascular ischemia;Acne;Hypogonadism;HIV infection;Neoplasm;Dermatological disease;Prostate disease;Multiple sclerosis;Lacrimal gland disease;Alopecia;Mycobacterium tuberculosis infection;Ovary cyst;Carcinoma;Cardiovascular disease;Cachexia;Muscle wasting disease;Cervical dystonia;Anemia;Endocrine disease;Non-insulin dependent diabetes;Breast tumor;Female contraception;Fungal infection;Cystic fibrosis;Prostate tumor;Estrogen deficiency;Endometriosis;Hormone deficiency;Turners syndrome;Keratosis;Premenstrual syndrome;Hepatitis C virus infection;Benign tumor;Osteoporosis;Male contraception,,,,"
"
3gam_v,3,2.877,0.9592,0.891922,2,1,0,0,0,0,Ribosyldihydronicotinamide dehydrogenase [quinone],NONE,P16083,Involved in oxidoreductase activity,NONE,"Some evidence suggests that NADH might be useful in treating Parkinsons disease, chronic fatigue syndrome, Alzheimers disease and cardiovascular disease.",,,,"
"
2hck_v,3,2.866,0.9554,0.836989,1,0,2,0,0,0,Tyrosine-protein kinase HCK,TRANSFERASE,HCK_HUMAN,May serve as part of a signaling pathway coupling the Fc receptor to the activation of the respiratory burst. May also contribute to neutrophil migration and may regulate the degranulation process of neutrophils.,NONE,NONE,,,,"
"
