Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SLCO1B1","Solute Carrier Organic Anion Transporter Family Member 1B1","Protein Coding","Q9Y6L6","59","GC12P068706","18.7947330474854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B1"
"HMGCR","3-Hydroxy-3-Methylglutaryl-CoA Reductase","Protein Coding","P04035","61","GC05P075336","18.7181491851807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR"
"APOB","Apolipoprotein B","Protein Coding","P04114","59","GC02M020956","16.5688858032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"CRP","C-Reactive Protein","Protein Coding","P02741","59","GC01M166465","16.157735824585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"CYP3A4","Cytochrome P450 Family 3 Subfamily A Member 4","Protein Coding","P08684","61","GC07M106386","14.6268882751465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","14.1436071395874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"APOE","Apolipoprotein E","Protein Coding","P02649","63","GC19P143132","13.5327425003052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"APOA1","Apolipoprotein A1","Protein Coding","P02647","63","GC11M116835","12.6694231033325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"CETP","Cholesteryl Ester Transfer Protein","Protein Coding","P11597","60","GC16P056961","11.9053354263306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP"
"COG2","Component Of Oligomeric Golgi Complex 2","Protein Coding","Q14746","51","GC01P230642","11.8912973403931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG2"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P173080","11.7059650421143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","11.6303720474243","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"PON1","Paraoxonase 1","Protein Coding","P27169","60","GC07M095297","11.0649518966675","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","63","GC07P163654","10.422251701355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","61","GC17P034255","10.2646923065186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"CYP3A5","Cytochrome P450 Family 3 Subfamily A Member 5","Protein Coding","P20815","59","GC07M099648","10.0217752456665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A5"
