"No.","Uniprot_id","Organism","Chembl_id","OpenTargets_id","TTD_id","TTD_target_type","Docking_PDB_id","Docking_score","Target_name","Gene_names","Function","Probability"
1,"P04035","Homo sapiens (Human)","CHEMBL402","ENSG00000113161","HMDH_HUMAN","Successful target","3CD5",-8.8,"HMG-CoA reductase","HMGCR","cholesterol biosynthetic process; coenzyme A metabolic process; isoprenoid biosynthetic process; negative regulation of amyloid-beta clearance; negative regulation of MAP kinase activity; negative regulation of protein catabolic process; negative regulation of protein secretion; sterol biosynthetic process; visual learning",0.9990215301513672
2,"Q13547","Homo sapiens (Human)","CHEMBL325","ENSG00000116478","HDAC1_HUMAN","Successful target","4BKX",-6.3,"Histone deacetylase 1","HDAC1;RPD3L1","cellular response to platelet-derived growth factor stimulus; chromatin organization; chromatin remodeling; circadian regulation of gene expression; DNA methylation-dependent heterochromatin formation; embryonic digit morphogenesis; endoderm development; epidermal cell differentiation; eyelid development in camera-type eye; fungiform papilla formation; hair follicle placode formation; hippocampus development; histone deacetylation; histone H3 deacetylation; histone H4 deacetylation; negative regulation by host of viral transcription; negative regulation of androgen receptor signaling pathway; negative regulation of apoptotic process; negative regulation of canonical Wnt signaling pathway; negative regulation of cell migration; negative regulation of DNA-templated transcription; negative regulation of gene expression; negative regulation of I-kappaB kinase/NF-kappaB signaling; negative regulation of intrinsic apoptotic signaling pathway; negative regulation of stem cell population maintenance; negative regulation of transcription by RNA polymerase II; negative regulation of transforming growth factor beta receptor signaling pathway; neuron differentiation; odontogenesis of dentin-containing tooth; oligodendrocyte differentiation; positive regulation of cell population proliferation; positive regulation of DNA-templated transcription; positive regulation of gene expression; positive regulation of oligodendrocyte differentiation; positive regulation of signaling receptor activity; positive regulation of smooth muscle cell proliferation; positive regulation of stem cell population maintenance; positive regulation of transcription by RNA polymerase II; protein deacetylation; regulation of amyloid-beta clearance; regulation of cell fate specification; regulation of endopeptidase activity; regulation of stem cell differentiation; regulation of transcription by RNA polymerase II",0.9893697500228882
3,"P08684","Homo sapiens (Human)","CHEMBL340","ENSG00000160868","CP3A4_HUMAN","Clinical Trial target","7KVS",-6.7,"Cytochrome P450 3A4","CYP3A4;CYP3A3","aflatoxin metabolic process; alkaloid catabolic process; androgen metabolic process; cholesterol metabolic process; estrogen metabolic process; heterocycle metabolic process; lipid hydroxylation; lipid metabolic process; long-chain fatty acid biosynthetic process; monoterpenoid metabolic process; oxidative demethylation; retinoic acid metabolic process; retinol metabolic process; steroid catabolic process; steroid metabolic process; vitamin D catabolic process; vitamin D metabolic process; xenobiotic catabolic process; xenobiotic metabolic process",0.9849793314933777
4,"Q9UBN7","Homo sapiens (Human)","CHEMBL1865","ENSG00000094631","HDAC6_HUMAN","Clinical Trial target","5KH3",-6.1,"Histone deacetylase 6","HDAC6;KIAA0901;JM21","aggresome assembly; autophagy; axonal transport of mitochondrion; cellular response to hydrogen peroxide; cellular response to misfolded protein; cellular response to parathyroid hormone stimulus; cellular response to topologically incorrect protein; cilium assembly; cilium disassembly; collateral sprouting; dendritic spine morphogenesis; epigenetic regulation of gene expression; histone deacetylation; Hsp90 deacetylation; intracellular protein transport; lysosome localization; negative regulation of axon extension involved in axon guidance; negative regulation of DNA-templated transcription; negative regulation of hydrogen peroxide metabolic process; negative regulation of microtubule depolymerization; negative regulation of oxidoreductase activity; negative regulation of protein acetylation; negative regulation of protein-containing complex assembly; negative regulation of protein-containing complex disassembly; negative regulation of proteolysis; negative regulation of transcription by RNA polymerase II; parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization; peptidyl-lysine deacetylation; polyubiquitinated misfolded protein transport; positive regulation of cholangiocyte proliferation; positive regulation of dendrite morphogenesis; positive regulation of epithelial cell migration; positive regulation of hydrogen peroxide-mediated programmed cell death; positive regulation of oxidative stress-induced neuron death; positive regulation of peptidyl-serine phosphorylation; positive regulation of signaling receptor activity; positive regulation of synaptic transmission, glutamatergic; positive regulation of tubulin deacetylation; protein deacetylation; protein destabilization; protein polyubiquitination; protein quality control for misfolded or incompletely synthesized proteins; protein-containing complex disassembly; regulation of androgen receptor signaling pathway; regulation of autophagy; regulation of autophagy of mitochondrion; regulation of establishment of protein localization; regulation of fat cell differentiation; regulation of macroautophagy; regulation of microtubule-based movement; regulation of protein stability; response to amphetamine; response to corticosterone; response to dexamethasone; response to growth factor; response to immobilization stress; response to misfolded protein; tubulin deacetylation; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0.9713620543479919
5,"Q9NPD5","Homo sapiens (Human)","CHEMBL1743121","ENSG00000111700;ENSG00000257046","SO1B3_HUMAN","Research target","Alphafold2",-8.1,"Solute carrier organic anion transporter family member 1B3","SLCO1B3;LST2;OATP1B3;OATP8;SLC21A8","bile acid and bile salt transport; heme catabolic process; monoatomic ion transport; negative regulation of peptidase activity; organic anion transport; sodium-independent organic anion transport; xenobiotic metabolic process",0.9651510119438171
6,"O95342","Homo sapiens (Human)","CHEMBL6020","ENSG00000073734","ABCBB_HUMAN","Research target","Alphafold2",-7.2,"Bile salt export pump","ABCB11;BSEP","bile acid and bile salt transport; bile acid biosynthetic process; bile acid metabolic process; bile acid signaling pathway; canalicular bile acid transport; cholesterol homeostasis; fatty acid metabolic process; lipid homeostasis; phospholipid homeostasis; positive regulation of bile acid secretion; protein ubiquitination; regulation of bile acid metabolic process; regulation of fatty acid beta-oxidation; regulation of gene expression; response to estrogen; response to ethanol; response to organic cyclic compound; response to oxidative stress; transmembrane transport; xenobiotic export from cell; xenobiotic metabolic process; xenobiotic transmembrane transport",0.9526762962341309
7,"Q9Y6L6","Homo sapiens (Human)","CHEMBL1697668","ENSG00000134538","SO1B1_HUMAN","Research target","Alphafold2",-6.6,"Solute carrier organic anion transporter family member 1B1","SLCO1B1;LST1;OATP1B1;OATP2;OATPC;SLC21A6","bile acid and bile salt transport; heme catabolic process; monoatomic ion transport; organic anion transport; sodium-independent organic anion transport; xenobiotic metabolic process",0.9347816705703735
8,"O15438","Homo sapiens (Human)","CHEMBL5918","ENSG00000108846","","","Alphafold2",-6.7,"Canalicular multispecific organic anion transporter 2","ABCC3;CMOAT2;MLP2;MRP3","bile acid and bile salt transport; leukotriene transport; transmembrane transport; transport across blood-brain barrier; xenobiotic metabolic process; xenobiotic transmembrane transport; xenobiotic transport",0.9026190042495728
9,"Q92769","Homo sapiens (Human)","CHEMBL1937","ENSG00000196591","HDAC2_HUMAN","Clinical Trial target","4LXZ",-6.3,"Histone deacetylase 2","HDAC2","behavioral response to ethanol; cardiac muscle hypertrophy; cellular response to dopamine; cellular response to heat; cellular response to hydrogen peroxide; cellular response to retinoic acid; cellular response to transforming growth factor beta stimulus; chromatin remodeling; circadian regulation of gene expression; dendrite development; embryonic digit morphogenesis; epidermal cell differentiation; eyelid development in camera-type eye; fungiform papilla formation; hair follicle placode formation; heterochromatin organization; histone deacetylation; histone H3 deacetylation; negative regulation of apoptotic process; negative regulation of cell migration; negative regulation of dendritic spine development; negative regulation of DNA binding; negative regulation of DNA-binding transcription factor activity; negative regulation of DNA-templated transcription; negative regulation of MHC class II biosynthetic process; negative regulation of neuron projection development; negative regulation of peptidyl-lysine acetylation; negative regulation of stem cell population maintenance; negative regulation of transcription by RNA polymerase II; negative regulation of transforming growth factor beta receptor signaling pathway; odontogenesis of dentin-containing tooth; positive regulation of cell population proliferation; positive regulation of collagen biosynthetic process; positive regulation of DNA-templated transcription; positive regulation of epithelial to mesenchymal transition; positive regulation of interleukin-1 production; positive regulation of male mating behavior; positive regulation of oligodendrocyte differentiation; positive regulation of proteolysis; positive regulation of signaling receptor activity; positive regulation of stem cell population maintenance; positive regulation of transcription by RNA polymerase II; positive regulation of tumor necrosis factor production; positive regulation of tyrosine phosphorylation of STAT protein; regulation of cell fate specification; regulation of stem cell differentiation; regulation of transcription by RNA polymerase II; response to amphetamine; response to caffeine; response to cocaine; response to hyperoxia; response to lipopolysaccharide; response to nicotine; response to xenobiotic stimulus",0.7466314435005188
10,"P11712","Homo sapiens (Human)","CHEMBL3397","ENSG00000138109","CP2C9_HUMAN","Successful target","1OG2",-6.6,"Cytochrome P450 2C9","CYP2C9;CYP2C10","amide metabolic process; cholesterol metabolic process; epoxygenase P450 pathway; estrogen metabolic process; icosanoid biosynthetic process; long-chain fatty acid biosynthetic process; monocarboxylic acid metabolic process; monoterpenoid metabolic process; omega-hydroxylase P450 pathway; oxidative demethylation; steroid metabolic process; urea metabolic process; xenobiotic catabolic process; xenobiotic metabolic process",0.034301165491342545
